financier,apr_strategy,wholesaler_policy,final_wallet,initial_capital,final_capital,capital_change,capital_loss,capital_loss_rate,final_apr,final_utilization,loans_issued,closed_loans,defaults,default_count_rate,total_issued_principal,default_amount,default_amount_to_issued_rate,default_amount_to_initial_capital_rate,outstanding_loans,simulation_end_day,seed,default_scenario,base_capital_per_financier,capital_per_financier,capital_multiplier,wholesaler_count,label
Fin_rl_1,pure_rl,rl,2548616.946085803,1000000.0,2548616.946085779,1548616.946085779,0.0,0.0,6.0,0.0,954,954,0,0.0,29927438.29902358,0,0.0,0.0,0,2255,709098,none_default,1000000.0,1000000.0,1.0,50,Isolated RL (non-federated)
Fin_rl_2,pure_rl,rl,2540536.353459564,1000000.0,2540536.3534595566,1540536.3534595566,0.0,0.0,6.0,0.0,964,964,0,0.0,29957657.90168737,0,0.0,0.0,0,2255,709098,none_default,1000000.0,1000000.0,1.0,50,Isolated RL (non-federated)
Fin_rl_3,pure_rl,rl,2667095.3293784405,1000000.0,2667095.329378514,1667095.329378514,0.0,0.0,6.0,0.0,1016,1016,0,0.0,30658558.74558187,0,0.0,0.0,0,2255,709098,none_default,1000000.0,1000000.0,1.0,50,Isolated RL (non-federated)
Fin_fl_rl_1,pure_rl,fl_rl,3159657.5088385097,1000000.0,3159657.50883845,2159657.50883845,0.0,0.0,6.0,0.0,989,989,0,0.0,34497321.74239199,0,0.0,0.0,0,2248,709098,none_default,1000000.0,1000000.0,1.0,50,FedAvg (federated)
Fin_fl_rl_2,pure_rl,fl_rl,2859850.019029565,1000000.0,2859850.0190296425,1859850.0190296425,0.0,0.0,6.0,0.0,993,993,0,0.0,31572229.24371214,0,0.0,0.0,0,2248,709098,none_default,1000000.0,1000000.0,1.0,50,FedAvg (federated)
Fin_fl_rl_3,pure_rl,fl_rl,2296495.5739335283,1000000.0,2296495.5739334906,1296495.5739334906,0.0,0.0,6.0,0.0,1022,1022,0,0.0,29553818.978269417,0,0.0,0.0,0,2248,709098,none_default,1000000.0,1000000.0,1.0,50,FedAvg (federated)
Fin_rl_1,pure_rl,rl,2351301.8814863022,1000000.0,2351301.8814864764,1351301.8814864764,0.0,0.0,6.0,0.0,778,778,63,0.08097686375321336,25955369.491039686,141660.0201142093,0.005457830995744953,0.1416600201142093,0,2254,709098,low_default,1000000.0,1000000.0,1.0,50,Isolated RL (non-federated)
Fin_rl_2,pure_rl,rl,2392740.1611242634,1000000.0,2392740.161124328,1392740.1611243282,0.0,0.0,6.0,0.0,841,841,47,0.0558858501783591,27281111.289492793,83592.69476441728,0.0030641235203865266,0.08359269476441727,0,2254,709098,low_default,1000000.0,1000000.0,1.0,50,Isolated RL (non-federated)
Fin_rl_3,pure_rl,rl,2406462.160201333,1000000.0,2406462.1602013423,1406462.1602013423,0.0,0.0,6.0,0.0,1006,1006,25,0.02485089463220676,29787225.546835486,41914.50779896947,0.0014071303060120802,0.04191450779896947,0,2254,709098,low_default,1000000.0,1000000.0,1.0,50,Isolated RL (non-federated)
Fin_fl_rl_1,pure_rl,fl_rl,2558460.096718231,1000000.0,2558460.096718269,1558460.096718269,0.0,0.0,6.0,0.0,913,913,34,0.03723986856516977,29435764.20622581,69652.27345442785,0.002366246480521,0.06965227345442784,0,2258,709098,low_default,1000000.0,1000000.0,1.0,50,FedAvg (federated)
Fin_fl_rl_2,pure_rl,fl_rl,2134526.205870837,1000000.0,2134526.205870772,1134526.2058707718,0.0,0.0,6.0,0.0,856,856,116,0.13551401869158877,26022702.333403073,211304.1250369477,0.008119991626146952,0.2113041250369477,0,2258,709098,low_default,1000000.0,1000000.0,1.0,50,FedAvg (federated)
Fin_fl_rl_3,pure_rl,fl_rl,2988027.229216259,1000000.0,2988027.2292162636,1988027.2292162636,0.0,0.0,6.0,0.0,1022,1022,24,0.023483365949119372,32959211.275918726,46871.729174574015,0.001422113192642456,0.046871729174574016,0,2258,709098,low_default,1000000.0,1000000.0,1.0,50,FedAvg (federated)
Fin_rl_1,pure_rl,rl,1777389.3320144974,1000000.0,1777389.3320144084,777389.3320144084,0.0,0.0,7.0,0.0,500,500,69,0.138,17542891.83243156,182231.53397774196,0.01038777048381786,0.18223153397774194,0,2263,709098,medium_default,1000000.0,1000000.0,1.0,50,Isolated RL (non-federated)
Fin_rl_2,pure_rl,rl,2663185.8240073486,1000000.0,2663185.8240073365,1663185.8240073365,0.0,0.0,6.0,0.0,866,866,55,0.06351039260969978,29203758.123361077,113109.72389076973,0.0038731221993065826,0.11310972389076973,0,2263,709098,medium_default,1000000.0,1000000.0,1.0,50,Isolated RL (non-federated)
Fin_rl_3,pure_rl,rl,2589887.1445526816,1000000.0,2589887.1445525987,1589887.1445525987,0.0,0.0,6.0,0.0,988,988,20,0.020242914979757085,29389176.71415629,44214.58377878263,0.0015044512545832965,0.04421458377878263,0,2263,709098,medium_default,1000000.0,1000000.0,1.0,50,Isolated RL (non-federated)
Fin_fl_rl_1,pure_rl,fl_rl,2252035.0402799407,1000000.0,2252035.0402799593,1252035.0402799593,0.0,0.0,7.0,0.0,852,852,31,0.036384976525821594,27443225.793886054,90158.89798841736,0.003285287912782594,0.09015889798841736,0,2257,709098,medium_default,1000000.0,1000000.0,1.0,50,FedAvg (federated)
