financier,apr_strategy,wholesaler_policy,final_wallet,initial_capital,final_capital,capital_change,capital_loss,capital_loss_rate,final_apr,final_utilization,loans_issued,closed_loans,defaults,default_count_rate,total_issued_principal,default_amount,default_amount_to_issued_rate,default_amount_to_initial_capital_rate,outstanding_loans,simulation_end_day,seed,default_scenario,base_capital_per_financier,capital_per_financier,capital_multiplier,wholesaler_count,label
Fin_rl_1,pure_rl,rl,5469811.356825055,1000000.0,5469811.356825189,4469811.356825189,0.0,0.0,6.0,0.0,2728,2728,0,0.0,90536763.40277469,0,0.0,0.0,0,4254,709098,none_default,1000000.0,1000000.0,1.0,50,Isolated RL (non-federated)
Fin_rl_2,pure_rl,rl,5191838.76680343,1000000.0,5191838.766803505,4191838.766803505,0.0,0.0,6.0,0.0,2570,2570,0,0.0,86475659.85167782,0,0.0,0.0,0,4254,709098,none_default,1000000.0,1000000.0,1.0,50,Isolated RL (non-federated)
Fin_rl_3,pure_rl,rl,7566159.568449754,1000000.0,7566159.568449839,6566159.568449839,0.0,0.0,6.0,0.0,3447,3447,0,0.0,113595450.00157629,0,0.0,0.0,0,4254,709098,none_default,1000000.0,1000000.0,1.0,50,Isolated RL (non-federated)
Fin_fl_rl_1,pure_rl,fl_rl,6806579.400413457,1000000.0,6806579.400413434,5806579.400413434,0.0,0.0,6.0,0.0,3107,3107,0,0.0,110553921.0107714,0,0.0,0.0,0,4249,709098,none_default,1000000.0,1000000.0,1.0,50,FedAvg (federated)
Fin_fl_rl_2,pure_rl,fl_rl,6247499.820386576,1000000.0,6247499.820386914,5247499.820386914,0.0,0.0,6.0,0.0,3049,3049,0,0.0,104206050.4883893,0,0.0,0.0,0,4249,709098,none_default,1000000.0,1000000.0,1.0,50,FedAvg (federated)
Fin_fl_rl_3,pure_rl,fl_rl,5427616.607574033,1000000.0,5427616.607574263,4427616.607574263,0.0,0.0,6.0,0.0,2922,2922,0,0.0,91228311.5745289,0,0.0,0.0,0,4249,709098,none_default,1000000.0,1000000.0,1.0,50,FedAvg (federated)
Fin_rl_1,pure_rl,rl,4330229.464772488,1000000.0,4330229.464772708,3330229.464772708,0.0,0.0,6.0,0.0,1652,1652,72,0.043583535108958835,57196040.05743142,160832.78285414737,0.002811956609105328,0.16083278285414737,0,4264,709098,low_default,1000000.0,1000000.0,1.0,50,Isolated RL (non-federated)
Fin_rl_2,pure_rl,rl,5923135.177915797,1000000.0,5923135.177915525,4923135.177915525,0.0,0.0,6.0,0.0,2661,2661,60,0.02254791431792559,90827157.62785083,115212.54244280295,0.0012684812059721958,0.11521254244280295,0,4264,709098,low_default,1000000.0,1000000.0,1.0,50,Isolated RL (non-federated)
Fin_rl_3,pure_rl,rl,6565033.425050815,1000000.0,6565033.4250502745,5565033.4250502745,0.0,0.0,6.0,0.0,3132,3132,33,0.01053639846743295,102189151.00164482,58539.858398781056,0.0005728578603988872,0.05853985839878106,0,4264,709098,low_default,1000000.0,1000000.0,1.0,50,Isolated RL (non-federated)
Fin_fl_rl_1,pure_rl,fl_rl,5734687.9984596465,1000000.0,5734687.998460237,4734687.998460237,0.0,0.0,6.0,0.0,2513,2513,46,0.01830481496219658,85088584.67395596,91050.36879715859,0.001070065616275639,0.0910503687971586,0,4265,709098,low_default,1000000.0,1000000.0,1.0,50,FedAvg (federated)
Fin_fl_rl_2,pure_rl,fl_rl,5020422.827646189,1000000.0,5020422.827646473,4020422.8276464734,0.0,0.0,6.0,0.0,2305,2305,129,0.05596529284164859,76701756.20143324,234221.80637814198,0.0030536694070345855,0.23422180637814197,0,4265,709098,low_default,1000000.0,1000000.0,1.0,50,FedAvg (federated)
Fin_fl_rl_3,pure_rl,fl_rl,7571496.224498413,1000000.0,7571496.224498082,6571496.224498082,0.0,0.0,6.0,0.0,3321,3321,36,0.01084010840108401,112238696.38822752,71710.3516930171,0.0006389093423267758,0.07171035169301711,0,4265,709098,low_default,1000000.0,1000000.0,1.0,50,FedAvg (federated)
Fin_rl_1,pure_rl,rl,3547630.941043346,1000000.0,3547630.9410430295,2547630.9410430295,0.0,0.0,7.0,0.0,1297,1297,87,0.06707787201233616,45912561.039968096,235665.28872696403,0.005132915337086319,0.23566528872696405,0,4254,709098,medium_default,1000000.0,1000000.0,1.0,50,Isolated RL (non-federated)
