seed,default_scenario,base_capital_per_financier,capital_per_financier,capital_multiplier,wholesaler_count,wholesaler_policy,label,shock_profile_counts,financiers,total_initial_capital,total_final_capital,mean_final_capital,return_pct,total_loans,loans_per_wholesaler,total_defaults,default_count_rate,default_amount_to_initial_capital_rate,default_amount_to_issued_rate,avg_capital_utilization,max_capital_utilization,avg_final_utilization,max_final_utilization
709098,none_default,1000000.0,1000000.0,1.0,50,rl,Isolated RL (non-federated),{'none': 50},3,3000000.0,18227809.692078535,6075936.564026178,507.59365640261785,8745,174.9,0,0.0,0.0,0.0,0.9066585817210705,0.9999975278027569,0.0,0.0
709098,none_default,1000000.0,1000000.0,1.0,50,fl_rl,FedAvg (federated),{'none': 50},3,3000000.0,18481695.82837461,6160565.2761248695,516.056527612487,9078,181.56,0,0.0,0.0,0.0,0.8970386359926079,0.9999975278027569,0.0,0.0
709098,low_default,1000000.0,1000000.0,1.0,50,rl,Isolated RL (non-federated),"{'none': 44, 'medium': 5, 'high': 1}",3,3000000.0,16818398.067738507,5606132.689246169,460.6132689246169,7445,148.9,165,0.02216252518468771,0.11152839456524379,0.0013372049199473124,0.8610195737488653,0.9999933361737415,0.0,0.0
709098,low_default,1000000.0,1000000.0,1.0,50,fl_rl,FedAvg (federated),"{'none': 44, 'medium': 5, 'high': 1}",3,3000000.0,18326607.05060479,6108869.0168682635,510.8869016868264,8139,162.78,211,0.025924560756849735,0.1323275089561059,0.0014486878136437027,0.8841126216623223,0.999999785661025,0.0,0.0
709098,medium_default,1000000.0,1000000.0,1.0,50,rl,Isolated RL (non-federated),"{'none': 38, 'medium': 9, 'high': 3}",3,3000000.0,15453032.3544516,5151010.7848172,415.10107848172004,6794,135.88,275,0.04047689137474242,0.2242161711120735,0.002925800882856368,0.8164242943283627,0.9999971368567805,0.0,0.0
709098,medium_default,1000000.0,1000000.0,1.0,50,fl_rl,FedAvg (federated),"{'none': 38, 'medium': 9, 'high': 3}",3,3000000.0,15186121.164598987,5062040.388199662,406.20403881996623,7329,146.58,282,0.038477282030290626,0.22380276147220882,0.0027027888752408423,0.8690415356618216,0.9999998104275646,0.0,0.0
709098,high_default,1000000.0,1000000.0,1.0,50,rl,Isolated RL (non-federated),"{'none': 32, 'medium': 13, 'high': 5}",3,3000000.0,13550519.772113346,4516839.924037782,351.6839924037782,6568,131.36,435,0.06623020706455542,0.42800480770233784,0.005770827228259572,0.8432860546054899,0.9999938252610883,0.0,0.0
709098,high_default,1000000.0,1000000.0,1.0,50,fl_rl,FedAvg (federated),"{'none': 32, 'medium': 13, 'high': 5}",3,3000000.0,13057305.939756203,4352435.313252068,335.2435313252068,5981,119.62,239,0.039959872930948,0.2272497359583936,0.0033707044442962014,0.8110931750070937,0.9999982134694752,0.0,0.0
709098,none_default,5000000.0,5000000.0,1.0,50,rl,Isolated RL (non-federated),{'none': 50},3,15000000.0,33553143.189850297,11184381.063283432,123.68762126566865,13077,261.54,0,0.0,0.0,0.0,0.5563411345223775,0.9999990876143148,0.0,0.0
709098,none_default,5000000.0,5000000.0,1.0,50,fl_rl,FedAvg (federated),{'none': 50},3,15000000.0,29378512.132875465,9792837.377625154,95.8567475525031,13322,266.44,0,0.0,0.0,0.0,0.5685226614517085,0.9999959254646806,0.0,0.0
709098,low_default,5000000.0,5000000.0,1.0,50,rl,Isolated RL (non-federated),"{'none': 44, 'medium': 5, 'high': 1}",3,15000000.0,34378616.52772075,11459538.842573583,129.19077685147164,10989,219.78,250,0.02275002275002275,0.032454225390020776,0.0012672477169468413,0.4655496511005799,0.9999491849386546,0.0,0.0
709098,low_default,5000000.0,5000000.0,1.0,50,fl_rl,FedAvg (federated),"{'none': 44, 'medium': 5, 'high': 1}",3,15000000.0,34434576.36535123,11478192.121783743,129.56384243567487,10795,215.9,209,0.01936081519221862,0.0284851353834958,0.001128768762260203,0.4538062231305764,0.9999139553771961,0.0,0.0
709098,medium_default,5000000.0,5000000.0,1.0,50,rl,Isolated RL (non-federated),"{'none': 38, 'medium': 9, 'high': 3}",3,15000000.0,30519594.59383848,10173198.19794616,103.46396395892319,10228,204.56,496,0.048494329292139225,0.08152838437198527,0.0034054628266253777,0.46020064746973155,0.9999860531692762,0.0,0.0
709098,medium_default,5000000.0,5000000.0,1.0,50,fl_rl,FedAvg (federated),"{'none': 38, 'medium': 9, 'high': 3}",3,15000000.0,30144505.327837154,10048168.442612385,100.96336885224771,8384,167.68,439,0.052361641221374045,0.07037360499138351,0.0035914357511154897,0.39005042863417644,0.9998354821091857,0.0,0.0
709098,high_default,5000000.0,5000000.0,1.0,50,rl,Isolated RL (non-federated),"{'none': 32, 'medium': 13, 'high': 5}",3,15000000.0,27726424.917996608,9242141.639332203,84.84283278664402,8938,178.76,709,0.07932423360930857,0.13849519394848578,0.006620955675664279,0.440272295817692,0.999346178374225,0.0,0.0
709098,high_default,5000000.0,5000000.0,1.0,50,fl_rl,FedAvg (federated),"{'none': 32, 'medium': 13, 'high': 5}",3,15000000.0,26729194.86829077,8909731.62276359,78.1946324552718,8869,177.38,584,0.06584733340850152,0.11534778471558892,0.005571707369414482,0.4387860854583575,0.9336231283909437,0.0,0.0
709098,none_default,10000000.0,10000000.0,1.0,50,rl,Isolated RL (non-federated),{'none': 50},3,30000000.0,44432868.77757202,14810956.259190673,48.10956259190672,13317,266.34,0,0.0,0.0,0.0,0.41432689376913895,0.999917836189259,0.0,0.0
709098,none_default,10000000.0,10000000.0,1.0,50,fl_rl,FedAvg (federated),{'none': 50},3,30000000.0,48894435.88309001,16298145.294363337,62.98145294363337,13251,265.02,0,0.0,0.0,0.0,0.34231327438841247,0.8821799243062947,0.0,0.0
709098,low_default,10000000.0,10000000.0,1.0,50,rl,Isolated RL (non-federated),"{'none': 44, 'medium': 5, 'high': 1}",3,30000000.0,49303226.58926773,16434408.863089243,64.34408863089243,11707,234.14,257,0.021952677885026053,0.017952391943478262,0.0013145986821847973,0.2913132891795682,0.6727448253408458,0.0,0.0
709098,low_default,10000000.0,10000000.0,1.0,50,fl_rl,FedAvg (federated),"{'none': 44, 'medium': 5, 'high': 1}",3,30000000.0,49184224.557613395,16394741.519204466,63.947415192044645,10467,209.34,188,0.017961211426387694,0.012020550878119225,0.0009892907033889557,0.26431415881562986,0.8530543279239615,0.0,0.0
709098,medium_default,10000000.0,10000000.0,1.0,50,rl,Isolated RL (non-federated),"{'none': 38, 'medium': 9, 'high': 3}",3,30000000.0,45950061.901755825,15316687.300585276,53.166873005852736,10075,201.5,563,0.05588089330024814,0.0443390696304736,0.0037642030196638095,0.28771067193759275,0.756105591562747,0.0,0.0
709098,medium_default,10000000.0,10000000.0,1.0,50,fl_rl,FedAvg (federated),"{'none': 38, 'medium': 9, 'high': 3}",3,30000000.0,44589386.71795448,14863128.905984826,48.63128905984827,8851,177.02,551,0.062252852784996045,0.04455321938103942,0.004312441580714945,0.24845958259184384,0.654502767771366,0.0,0.0
709098,high_default,10000000.0,10000000.0,1.0,50,rl,Isolated RL (non-federated),"{'none': 32, 'medium': 13, 'high': 5}",3,30000000.0,44777867.61403642,14925955.871345473,49.25955871345473,8862,177.24,656,0.07402392236515459,0.0636167243717492,0.006150939411597231,0.264295433357495,0.6290895807696918,0.0,0.0
709098,high_default,10000000.0,10000000.0,1.0,50,fl_rl,FedAvg (federated),"{'none': 32, 'medium': 13, 'high': 5}",3,30000000.0,43804059.30226819,14601353.100756064,46.01353100756065,8835,176.7,546,0.061799660441426145,0.05436012875365247,0.005247080639929774,0.24225184945879957,0.47326736461750335,0.0,0.0
436570,none_default,1000000.0,1000000.0,1.0,50,rl,Isolated RL (non-federated),{'none': 50},3,3000000.0,19447505.840946093,6482501.946982031,548.2501946982031,8968,179.36,0,0.0,0.0,0.0,0.9050462505661495,0.9999990466960647,0.0,0.0
436570,none_default,1000000.0,1000000.0,1.0,50,fl_rl,FedAvg (federated),{'none': 50},3,3000000.0,19093368.57199823,6364456.190666077,536.4456190666078,8718,174.36,0,0.0,0.0,0.0,0.8784464250119132,0.9999994723585106,0.0,0.0
436570,low_default,1000000.0,1000000.0,1.0,50,rl,Isolated RL (non-federated),"{'none': 44, 'medium': 5, 'high': 1}",3,3000000.0,17097636.000451483,5699212.000150494,469.92120001504946,7870,157.4,289,0.03672172808132147,0.19016857990464942,0.0021395322273780842,0.8675457446223593,0.9999981076074322,0.0,0.0
436570,low_default,1000000.0,1000000.0,1.0,50,fl_rl,FedAvg (federated),"{'none': 44, 'medium': 5, 'high': 1}",3,3000000.0,14771915.740400136,4923971.9134667115,392.3971913466712,6748,134.96,212,0.03141671606401897,0.13440873531311465,0.0017649707531754437,0.8243736497481431,0.9999917114702022,0.0,0.0
436570,medium_default,1000000.0,1000000.0,1.0,50,rl,Isolated RL (non-federated),"{'none': 38, 'medium': 9, 'high': 3}",3,3000000.0,16179794.26086858,5393264.75362286,439.3264753622859,7417,148.34,259,0.034919778886342186,0.22211509479813613,0.0026526323561875285,0.8626196226366594,0.9999938541316709,0.0,0.0
436570,medium_default,1000000.0,1000000.0,1.0,50,fl_rl,FedAvg (federated),"{'none': 38, 'medium': 9, 'high': 3}",3,3000000.0,15377198.354004368,5125732.784668122,412.57327846681227,6548,130.96,126,0.019242516799022603,0.10000693538589797,0.0013462767233945944,0.7805505370217277,0.9999956455744542,0.0,0.0
436570,high_default,1000000.0,1000000.0,1.0,50,rl,Isolated RL (non-federated),"{'none': 32, 'medium': 13, 'high': 5}",3,3000000.0,12364803.016402412,4121601.0054674707,312.1601005467471,5597,111.94,426,0.07611220296587458,0.370831499893894,0.005870161586186678,0.8189300622885195,0.9999908118276642,0.0,0.0
436570,high_default,1000000.0,1000000.0,1.0,50,fl_rl,FedAvg (federated),"{'none': 32, 'medium': 13, 'high': 5}",3,3000000.0,13820997.74853419,4606999.2495113965,360.6999249511397,5842,116.84,304,0.05203697363916467,0.2769665359457201,0.00414009249443885,0.7788735707375404,0.9999954433833792,0.0,0.0
436570,none_default,5000000.0,5000000.0,1.0,50,rl,Isolated RL (non-federated),{'none': 50},3,15000000.0,32443705.43777484,10814568.47925828,116.29136958516558,13259,265.18,0,0.0,0.0,0.0,0.589346897305118,0.9999997402509386,0.0,0.0
436570,none_default,5000000.0,5000000.0,1.0,50,fl_rl,FedAvg (federated),{'none': 50},3,15000000.0,32412160.93869658,10804053.646232193,116.08107292464385,13108,262.16,0,0.0,0.0,0.0,0.5641631217844713,0.9999961025786053,0.0,0.0
436570,low_default,5000000.0,5000000.0,1.0,50,rl,Isolated RL (non-federated),"{'none': 44, 'medium': 5, 'high': 1}",3,15000000.0,34762458.5517511,11587486.183917033,131.74972367834064,11692,233.84,497,0.04250769757098871,0.06958134516775827,0.002547730697082318,0.4865062541325257,0.9998040329424579,0.0,0.0
436570,low_default,5000000.0,5000000.0,1.0,50,fl_rl,FedAvg (federated),"{'none': 44, 'medium': 5, 'high': 1}",3,15000000.0,31484518.549381606,10494839.516460536,109.89679032921072,10972,219.44,237,0.02160043747721473,0.03445495231541993,0.0013468581341505041,0.48078650453769,0.9999624277402986,0.0,0.0
436570,medium_default,5000000.0,5000000.0,1.0,50,rl,Isolated RL (non-federated),"{'none': 38, 'medium': 9, 'high': 3}",3,15000000.0,30708781.201698564,10236260.400566189,104.72520801132376,10025,200.5,485,0.04837905236907731,0.08035076513308063,0.0034494878010756544,0.4546682564879849,0.9997289845116653,0.0,0.0
436570,medium_default,5000000.0,5000000.0,1.0,50,fl_rl,FedAvg (federated),"{'none': 38, 'medium': 9, 'high': 3}",3,15000000.0,32023873.73621734,10674624.578739112,113.49249157478228,9946,198.92,336,0.03378242509551579,0.058989204986509836,0.0025400940719476853,0.4427854719687184,0.9999309083446435,0.0,0.0
436570,high_default,5000000.0,5000000.0,1.0,50,rl,Isolated RL (non-federated),"{'none': 32, 'medium': 13, 'high': 5}",3,15000000.0,27605165.808894165,9201721.936298056,84.0344387259611,8550,171.0,640,0.07485380116959064,0.12047295642918422,0.006030825610083925,0.41110101188679843,0.9964193861941206,0.0,0.0
436570,high_default,5000000.0,5000000.0,1.0,50,fl_rl,FedAvg (federated),"{'none': 32, 'medium': 13, 'high': 5}",3,15000000.0,28368669.023712978,9456223.007904327,89.12446015808652,8981,179.62,645,0.0718182830419775,0.12422967706990257,0.005966678451058522,0.42874741969709046,0.9999781831142103,0.0,0.0
436570,none_default,10000000.0,10000000.0,1.0,50,rl,Isolated RL (non-federated),{'none': 50},3,30000000.0,43600531.81995222,14533510.60665074,45.3351060665074,13295,265.9,0,0.0,0.0,0.0,0.34297202371318547,0.9874429529243086,0.0,0.0
436570,none_default,10000000.0,10000000.0,1.0,50,fl_rl,FedAvg (federated),{'none': 50},3,30000000.0,46520033.85820671,15506677.952735571,55.066779527355706,13172,263.44,0,0.0,0.0,0.0,0.4370651988341869,0.9998605031042093,0.0,0.0
