"log_file","round","success","fail","send_rate_tps","max_latency_s","min_latency_s","avg_latency_s","throughput_tps"
"aggregateglobalmodel-agro1008-finance-300-1786440375666.log","aggregateglobalmodel_round1@300","311","73","289.2","2.09","0.05","0.19","113.4"
"closeauction-agro1008-supply-300-1786439896867.log","closeauction_round1@300","300","0","259.7","0.26","0.07","0.19","245.1"
"createfinancerequest-agro1008-finance-300-1786440090137.log","createfinancerequest_round1@300","300","0","286.8","0.17","0.04","0.09","276"
"farmerreviewbid-agro1008-supply-300-1786439948453.log","farmerreviewbid_round1@300","300","0","277.8","0.22","0.04","0.1","266.7"
"getallfinancerequests-agro1008-finance-300-1786440283865.log","getallfinancerequests_round1@300","300","0","295","0.06","0.01","0.02","287.9"
"getglobalmodel-agro1008-finance-300-1786440422014.log","getglobalmodel_round1@300","300","0","295.3","0.04","0","0.01","293.5"
"openauction-agro1008-supply-300-1786439795937.log","openauction_round1@300","300","0","250.4","0.21","0.05","0.12","240.2"
"pack-agro1008-supply-300-1786440182540.log","pack_round1@300","300","0","276","0.33","0.06","0.21","252.5"
"placebidall-agro1008-supply-300-1786439846329.log","placebidall_round1@300","300","0","271.2","0.21","0.09","0.14","249"
"purchase-agro1008-supply-300-1786440233307.log","purchase_round1@300","300","0","283.8","0.14","0.04","0.09","272.2"
"reviewfinancerequest-agro1008-finance-300-1786440136989.log","reviewfinancerequest_round1@300","300","0","302.4","0.16","0.05","0.09","282.2"
"setfinancepolicy-agro1008-finance-300-1786439999174.log","setfinancepolicy_round1@300","37","263","289.3","0.2","0.1","0.16","269.3"
"submitlocalmodel-agro1008-finance-300-1786440330303.log","submitlocalmodel_round1@300","300","0","295","0.17","0.06","0.1","276"
"submitproduce-agro1008-supply-300-1786439694530.log","submitproduce_round1@300","300","0","272.2","0.43","0.16","0.29","231.5"
"testcardamom-agro1008-supply-300-1786439745257.log","testcardamom_round1@300","300","0","276.8","0.3","0.08","0.19","256.8"
"updatefinancierrloffer-agro1008-finance-300-1786440044648.log","updatefinancierrloffer_round1@300","51","249","292.1","0.19","0.09","0.13","275"
