folder,function,round,load,success,fail,sendRate,maxLatency,minLatency,avgLatency,throughput,payload size(bytes)
logs_500_1,closeauction,1,500,5000,0,349.6,10.58,0.16,8.09,203.9,26
logs_500_1,createfinancerequest,1,500,5000,0,354.6,10.55,0.1,7.51,205.6,36
logs_500_1,farmerreviewbid,1,500,5000,0,381,11.23,0.13,7.8,208.6,36
logs_500_1,openauction,1,500,5000,0,290.2,12.55,0.12,8.41,185.2,41
logs_500_1,pack,1,500,5000,0,325.9,33.91,0.41,24.91,110,132
logs_500_1,placebid,1,500,5000,0,333.6,7.62,0.13,5.54,224,46
logs_500_1,placebidall,1,500,5000,0,373.4,8.73,0.13,6.02,228.9,46
logs_500_1,purchase,1,500,4764,236,279.3,15.02,0.23,10.56,160.4,38
logs_500_1,reviewfinancerequest,1,500,5000,0,350.9,15.49,0.2,11.62,169.9,83
logs_500_1,submitproduce,1,500,5000,0,345.9,15.36,0.2,10.99,172.3,65
logs_500_1,testcardamom,1,500,5000,0,291.4,7.95,0.14,5.79,215.4,488
