function,round,load,success,fail,sendRate,maxLatency,minLatency,avgLatency,throughput
closeauction,1,500,5000,0,349.6,10.58,0.16,8.09,203.9
closeauction,1,500,5000,0,386.4,8.30,0.23,5.63,238.9
createfinancerequest,1,500,5000,0,354.6,10.55,0.10,7.51,205.6
farmerreviewbid,1,500,5000,0,381.0,11.23,0.13,7.80,208.6
openauction,1,500,5000,0,290.2,12.55,0.12,8.41,185.2
pack,1,500,5000,0,325.9,33.91,0.41,24.91,110.0
placebid,1,500,5000,0,333.6,7.62,0.13,5.54,224.0
placebidall,1,500,5000,0,373.4,8.73,0.13,6.02,228.9
purchase,1,500,236,4764,279.3,15.02,0.23,10.56,160.4
reviewfinancerequest,1,500,5000,0,350.9,15.49,0.20,11.62,169.9
submitproduce,1,500,5000,0,345.9,15.36,0.20,10.99,172.3
testcardamom,1,500,5000,0,291.4,7.95,0.14,5.79,215.4
