financier,apr_strategy,wholesaler_policy,final_wallet,initial_capital,final_capital,capital_change,capital_loss,capital_loss_rate,final_apr,final_utilization,loans_issued,closed_loans,defaults,default_count_rate,total_issued_principal,default_amount,default_amount_to_issued_rate,default_amount_to_initial_capital_rate,outstanding_loans,simulation_end_day,non_iid_level,non_iid_tag,seed,default_scenario,capital_per_financier
Fin_fl_rl_1,pure_rl,fl_rl,1907387.7957481686,1000000.0,1907387.795748129,907387.795748129,0.0,0.0,27.0,0.0,731,731,0,0.0,25652975.145502,0.0,0.0,0.0,0,2256,0.0,0p00,709098,none_default,1000000.0
Fin_fl_rl_2,pure_rl,fl_rl,1571029.0634619647,1000000.0,1571029.0634620052,571029.0634620052,0.0,0.0,6.0,0.0,733,733,0,0.0,22897443.633429725,0.0,0.0,0.0,0,2256,0.0,0p00,709098,none_default,1000000.0
Fin_fl_rl_3,pure_rl,fl_rl,2087706.5280560586,1000000.0,2087706.5280558993,1087706.5280558993,0.0,0.0,6.0,0.0,645,645,0,0.0,24250810.597158,0.0,0.0,0.0,0,2256,0.0,0p00,709098,none_default,1000000.0
Fin_fl_rl_prox_1,pure_rl,fl_rl_prox,1569170.7833992613,1000000.0,1569170.7833992706,569170.7833992706,0.0,0.0,6.0,0.0,788,788,0,0.0,23547315.121646516,0.0,0.0,0.0,0,2256,0.0,0p00,709098,none_default,1000000.0
Fin_fl_rl_prox_2,pure_rl,fl_rl_prox,1757889.1879437696,1000000.0,1757889.1879437002,757889.1879437002,0.0,0.0,6.0,0.0,734,734,0,0.0,23916798.429528635,0.0,0.0,0.0,0,2256,0.0,0p00,709098,none_default,1000000.0
Fin_fl_rl_prox_3,pure_rl,fl_rl_prox,2011855.8677198736,1000000.0,2011855.8677198072,1011855.8677198072,0.0,0.0,26.0,0.0,635,635,0,0.0,24010814.807829905,0.0,0.0,0.0,0,2256,0.0,0p00,709098,none_default,1000000.0
Fin_fl_rl_scaffold_1,pure_rl,fl_rl_scaffold,2099725.696852985,1000000.0,2099725.6968529993,1099725.6968529993,0.0,0.0,6.0,0.0,628,628,0,0.0,23963391.248498134,0.0,0.0,0.0,0,2256,0.0,0p00,709098,none_default,1000000.0
Fin_fl_rl_scaffold_2,pure_rl,fl_rl_scaffold,1796839.7355698664,1000000.0,1796839.7355698345,796839.7355698345,0.0,0.0,6.0,0.0,567,567,0,0.0,20834063.05199815,0.0,0.0,0.0,0,2256,0.0,0p00,709098,none_default,1000000.0
Fin_fl_rl_scaffold_3,pure_rl,fl_rl_scaffold,1885940.1135319478,1000000.0,1885940.1135318456,885940.1135318456,0.0,0.0,6.0,0.0,675,675,0,0.0,23228863.673078332,0.0,0.0,0.0,0,2256,0.0,0p00,709098,none_default,1000000.0
Fin_fl_rl_1,pure_rl,fl_rl,1628269.7631326772,1000000.0,1628269.7631326367,628269.7631326367,0.0,0.0,6.0,0.0,703,703,0,0.0,23085213.477214836,0.0,0.0,0.0,0,2252,0.0,0p00,436570,none_default,1000000.0
