non_iid_level,seed,capital_per_financier,default_scenario,borrower_count,elapsed_seconds
0.0,709098,1000000.0,none_default,50,17.140050411224365
0.0,436570,1000000.0,none_default,50,16.770941734313965
0.0,831197,1000000.0,none_default,50,17.00944232940674
0.0,709098,1000000.0,low_default,50,16.88201117515564
0.0,436570,1000000.0,low_default,50,16.730150938034058
0.0,831197,1000000.0,low_default,50,16.766829013824463
0.0,709098,1000000.0,medium_default,50,15.744101762771606
0.0,436570,1000000.0,medium_default,50,15.953762769699097
0.0,831197,1000000.0,medium_default,50,15.915293455123901
0.0,709098,1000000.0,high_default,50,14.023144960403442
0.0,436570,1000000.0,high_default,50,14.005916833877563
0.0,831197,1000000.0,high_default,50,13.76820993423462
0.0,709098,5000000.0,none_default,50,19.324928522109985
0.0,436570,5000000.0,none_default,50,18.955421447753906
0.0,831197,5000000.0,none_default,50,18.459510564804077
0.0,709098,5000000.0,low_default,50,19.519360065460205
0.0,436570,5000000.0,low_default,50,19.570241928100586
0.0,831197,5000000.0,low_default,50,19.69800090789795
0.0,709098,5000000.0,medium_default,50,18.98915934562683
0.0,436570,5000000.0,medium_default,50,19.40120220184326
0.0,831197,5000000.0,medium_default,50,19.200389623641968
0.0,709098,5000000.0,high_default,50,18.10611581802368
0.0,436570,5000000.0,high_default,50,18.29831337928772
0.0,831197,5000000.0,high_default,50,18.632046937942505
0.0,709098,10000000.0,none_default,50,19.15612769126892
0.0,436570,10000000.0,none_default,50,18.835336208343506
0.0,831197,10000000.0,none_default,50,18.419382333755493
0.0,709098,10000000.0,low_default,50,19.476712465286255
0.0,436570,10000000.0,low_default,50,19.58883547782898
0.0,831197,10000000.0,low_default,50,19.76016855239868
0.0,709098,10000000.0,medium_default,50,19.23111391067505
0.0,436570,10000000.0,medium_default,50,19.06383514404297
0.0,831197,10000000.0,medium_default,50,19.913585662841797
0.0,709098,10000000.0,high_default,50,18.03267765045166
0.0,436570,10000000.0,high_default,50,17.653252840042114
0.0,831197,10000000.0,high_default,50,18.056874752044678
0.5,709098,1000000.0,none_default,50,16.3259437084198
0.5,436570,1000000.0,none_default,50,16.56446671485901
0.5,831197,1000000.0,none_default,50,16.946565866470337
0.5,709098,1000000.0,low_default,50,16.77351450920105
0.5,436570,1000000.0,low_default,50,16.55258584022522
0.5,831197,1000000.0,low_default,50,16.901678323745728
0.5,709098,1000000.0,medium_default,50,15.505129337310791
0.5,436570,1000000.0,medium_default,50,15.413326263427734
0.5,831197,1000000.0,medium_default,50,15.250403642654419
0.5,709098,1000000.0,high_default,50,13.4048912525177
0.5,436570,1000000.0,high_default,50,13.49289083480835
0.5,831197,1000000.0,high_default,50,13.556512594223022
0.5,709098,5000000.0,none_default,50,18.95069909095764
0.5,436570,5000000.0,none_default,50,18.72184419631958
0.5,831197,5000000.0,none_default,50,18.447330236434937
0.5,709098,5000000.0,low_default,50,19.830584287643433
0.5,436570,5000000.0,low_default,50,20.07311511039734
0.5,831197,5000000.0,low_default,50,20.3481547832489
0.5,709098,5000000.0,medium_default,50,19.20808982849121
0.5,436570,5000000.0,medium_default,50,18.947016716003418
0.5,831197,5000000.0,medium_default,50,19.738667249679565
0.5,709098,5000000.0,high_default,50,16.654656410217285
0.5,436570,5000000.0,high_default,50,16.338090181350708
0.5,831197,5000000.0,high_default,50,17.70581579208374
0.5,709098,10000000.0,none_default,50,19.255523920059204
0.5,436570,10000000.0,none_default,50,18.439135789871216
0.5,831197,10000000.0,none_default,50,18.56150197982788
0.5,709098,10000000.0,low_default,50,20.862980842590332
0.5,436570,10000000.0,low_default,50,20.522807359695435
0.5,831197,10000000.0,low_default,50,20.461360454559326
0.5,709098,10000000.0,medium_default,50,19.124964237213135
0.5,436570,10000000.0,medium_default,50,19.01242423057556
0.5,831197,10000000.0,medium_default,50,19.123330116271973
0.5,709098,10000000.0,high_default,50,16.81066083908081
0.5,436570,10000000.0,high_default,50,16.581230640411377
0.5,831197,10000000.0,high_default,50,16.346691131591797
1.0,709098,1000000.0,none_default,50,16.799302577972412
1.0,436570,1000000.0,none_default,50,16.52970290184021
1.0,831197,1000000.0,none_default,50,16.816322803497314
1.0,709098,1000000.0,low_default,50,12.638169765472412
1.0,436570,1000000.0,low_default,50,12.426029920578003
1.0,831197,1000000.0,low_default,50,12.583354234695435
1.0,709098,1000000.0,medium_default,50,11.457611799240112
1.0,436570,1000000.0,medium_default,50,12.401813507080078
1.0,831197,1000000.0,medium_default,50,11.065929412841797
1.0,709098,1000000.0,high_default,50,11.284198999404907
1.0,436570,1000000.0,high_default,50,11.214460372924805
1.0,831197,1000000.0,high_default,50,11.642714977264404
1.0,709098,5000000.0,none_default,50,19.147139072418213
1.0,436570,5000000.0,none_default,50,18.952975749969482
1.0,831197,5000000.0,none_default,50,18.90048384666443
1.0,709098,5000000.0,low_default,50,23.42527437210083
1.0,436570,5000000.0,low_default,50,22.928743362426758
1.0,831197,5000000.0,low_default,50,23.283949613571167
1.0,709098,5000000.0,medium_default,50,22.072757482528687
1.0,436570,5000000.0,medium_default,50,20.4985454082489
1.0,831197,5000000.0,medium_default,50,20.328209400177002
1.0,709098,5000000.0,high_default,50,18.45756506919861
1.0,436570,5000000.0,high_default,50,17.33151364326477
1.0,831197,5000000.0,high_default,50,18.117393732070923
1.0,709098,10000000.0,none_default,50,19.324342727661133
1.0,436570,10000000.0,none_default,50,18.512081146240234
1.0,831197,10000000.0,none_default,50,18.43103837966919
