financier,apr_strategy,wholesaler_policy,final_wallet,initial_capital,final_capital,capital_change,capital_loss,capital_loss_rate,final_apr,final_utilization,loans_issued,closed_loans,defaults,default_count_rate,total_issued_principal,default_amount,default_amount_to_issued_rate,default_amount_to_initial_capital_rate,outstanding_loans,simulation_end_day,scaffold_lr,scaffold_level,seed,default_scenario,capital_per_financier,borrower_count
Fin_rl_1,pure_rl,rl,2494850.8937202697,1000000.0,2494850.893720348,1494850.893720348,0.0,0.0,6.0,0.0,808,808,0,0.0,28576525.81400159,0.0,0.0,0.0,0,2257,0.25,0p25,709098,none_default,1000000.0,50
Fin_rl_2,pure_rl,rl,2717854.581954262,1000000.0,2717854.581954034,1717854.581954034,0.0,0.0,6.0,0.0,889,889,0,0.0,31112327.196287934,0.0,0.0,0.0,0,2257,0.25,0p25,709098,none_default,1000000.0,50
Fin_rl_3,pure_rl,rl,2702926.6811505747,1000000.0,2702926.6811504206,1702926.6811504206,0.0,0.0,6.0,0.0,851,851,0,0.0,30730190.06757081,0.0,0.0,0.0,0,2257,0.25,0p25,709098,none_default,1000000.0,50
Fin_fl_rl_scaffold_1,pure_rl,fl_rl_scaffold,2461791.37846592,1000000.0,2461791.378465931,1461791.378465931,0.0,0.0,6.0,0.0,853,853,0,0.0,28964499.12156189,0.0,0.0,0.0,0,2257,0.25,0p25,709098,none_default,1000000.0,50
Fin_fl_rl_scaffold_2,pure_rl,fl_rl_scaffold,2181585.326450154,1000000.0,2181585.326450114,1181585.326450114,0.0,0.0,31.0,0.0,911,911,0,0.0,27016552.47247137,0.0,0.0,0.0,0,2257,0.25,0p25,709098,none_default,1000000.0,50
Fin_fl_rl_scaffold_3,pure_rl,fl_rl_scaffold,2295638.129508173,1000000.0,2295638.1295081466,1295638.1295081466,0.0,0.0,6.0,0.0,863,863,0,0.0,27780005.89515548,0.0,0.0,0.0,0,2257,0.25,0p25,709098,none_default,1000000.0,50
Fin_rl_1,pure_rl,rl,2519598.7490069773,1000000.0,2519598.749006986,1519598.7490069862,0.0,0.0,6.0,0.0,913,913,0,0.0,29592770.351074565,0.0,0.0,0.0,0,2245,0.25,0p25,436570,none_default,1000000.0,50
Fin_rl_2,pure_rl,rl,2264000.3878443763,1000000.0,2264000.3878443874,1264000.3878443874,0.0,0.0,6.0,0.0,889,889,0,0.0,28372297.590718653,0.0,0.0,0.0,0,2245,0.25,0p25,436570,none_default,1000000.0,50
Fin_rl_3,pure_rl,rl,2286557.9750877824,1000000.0,2286557.975087817,1286557.9750878168,0.0,0.0,6.0,0.0,706,706,0,0.0,25785014.527764443,0.0,0.0,0.0,0,2245,0.25,0p25,436570,none_default,1000000.0,50
Fin_fl_rl_scaffold_1,pure_rl,fl_rl_scaffold,2496942.159512229,1000000.0,2496942.159512257,1496942.1595122572,0.0,0.0,6.0,0.0,830,830,0,0.0,29260892.567277927,0.0,0.0,0.0,0,2245,0.25,0p25,436570,none_default,1000000.0,50
