scaffold_lr,seed,capital_per_financier,default_scenario,borrower_count,elapsed_seconds
0.25,709098,1000000.0,none_default,50,16.073698043823242
0.25,436570,1000000.0,none_default,50,14.051007509231567
0.25,831197,1000000.0,none_default,50,14.443917512893677
0.25,709098,1000000.0,low_default,50,14.153459310531616
0.25,436570,1000000.0,low_default,50,14.20333743095398
0.25,831197,1000000.0,low_default,50,13.450669765472412
0.25,709098,1000000.0,medium_default,50,13.535576105117798
0.25,436570,1000000.0,medium_default,50,12.70667600631714
0.25,831197,1000000.0,medium_default,50,12.077707767486572
0.25,709098,1000000.0,high_default,50,11.00809645652771
0.25,436570,1000000.0,high_default,50,10.781694650650024
0.25,831197,1000000.0,high_default,50,11.787368297576904
0.25,709098,5000000.0,none_default,50,22.52362823486328
0.25,436570,5000000.0,none_default,50,47.31577014923096
0.25,831197,5000000.0,none_default,50,42.70355296134949
0.25,709098,5000000.0,low_default,50,45.358543395996094
0.25,436570,5000000.0,low_default,50,44.66476488113403
0.25,831197,5000000.0,low_default,50,43.75702548027039
0.25,709098,5000000.0,medium_default,50,41.37222194671631
0.25,436570,5000000.0,medium_default,50,43.70021653175354
0.25,831197,5000000.0,medium_default,50,43.32206130027771
0.25,709098,5000000.0,high_default,50,34.91187334060669
0.25,436570,5000000.0,high_default,50,35.193034410476685
0.25,831197,5000000.0,high_default,50,36.90833759307861
0.25,709098,10000000.0,none_default,50,52.54114127159119
0.25,436570,10000000.0,none_default,50,38.38581657409668
0.25,831197,10000000.0,none_default,50,42.9584424495697
0.25,709098,10000000.0,low_default,50,46.64815735816956
0.25,436570,10000000.0,low_default,50,43.66987085342407
0.25,831197,10000000.0,low_default,50,48.963273763656616
0.25,709098,10000000.0,medium_default,50,40.83179306983948
0.25,436570,10000000.0,medium_default,50,44.99275970458984
0.25,831197,10000000.0,medium_default,50,44.54046487808228
0.25,709098,10000000.0,high_default,50,36.536245822906494
0.25,436570,10000000.0,high_default,50,40.6866409778595
0.25,831197,10000000.0,high_default,50,37.39044976234436
0.5,709098,1000000.0,none_default,50,28.969071626663208
0.5,436570,1000000.0,none_default,50,27.22562456130981
0.5,831197,1000000.0,none_default,50,30.14244532585144
0.5,709098,1000000.0,low_default,50,29.411842107772827
0.5,436570,1000000.0,low_default,50,29.196011066436768
0.5,831197,1000000.0,low_default,50,27.58296585083008
0.5,709098,1000000.0,medium_default,50,26.842018604278564
0.5,436570,1000000.0,medium_default,50,24.562758207321167
0.5,831197,1000000.0,medium_default,50,26.399279594421387
0.5,709098,1000000.0,high_default,50,24.21965742111206
0.5,436570,1000000.0,high_default,50,24.098525762557983
0.5,831197,1000000.0,high_default,50,24.37440729141236
0.5,709098,5000000.0,none_default,50,47.04113221168518
0.5,436570,5000000.0,none_default,50,44.79243731498718
0.5,831197,5000000.0,none_default,50,44.0041880607605
0.5,709098,5000000.0,low_default,50,42.06072545051575
0.5,436570,5000000.0,low_default,50,46.72043299674988
0.5,831197,5000000.0,low_default,50,49.71077561378479
0.5,709098,5000000.0,medium_default,50,19.25931739807129
0.5,436570,5000000.0,medium_default,50,30.16621232032776
0.5,831197,5000000.0,medium_default,50,43.14607381820679
0.5,709098,5000000.0,high_default,50,39.189982414245605
0.5,436570,5000000.0,high_default,50,39.52345657348633
0.5,831197,5000000.0,high_default,50,41.89566111564636
0.5,709098,10000000.0,none_default,50,22.446269750595093
0.5,436570,10000000.0,none_default,50,21.39488387107849
0.5,831197,10000000.0,none_default,50,21.35110902786255
0.5,709098,10000000.0,low_default,50,24.356730699539185
0.5,436570,10000000.0,low_default,50,23.89714241027832
0.5,831197,10000000.0,low_default,50,20.993341207504272
0.5,709098,10000000.0,medium_default,50,18.748652696609497
0.5,436570,10000000.0,medium_default,50,19.166226625442505
0.5,831197,10000000.0,medium_default,50,18.702922582626343
0.5,709098,10000000.0,high_default,50,15.995584964752195
0.5,436570,10000000.0,high_default,50,17.275415420532227
0.5,831197,10000000.0,high_default,50,16.306151151657104
0.75,709098,1000000.0,none_default,50,13.410242319107056
0.75,436570,1000000.0,none_default,50,12.815558910369871
0.75,831197,1000000.0,none_default,50,13.325647354125977
0.75,709098,1000000.0,low_default,50,12.892200469970703
0.75,436570,1000000.0,low_default,50,12.568545579910278
0.75,831197,1000000.0,low_default,50,12.985968351364136
0.75,709098,1000000.0,medium_default,50,11.579413890838625
0.75,436570,1000000.0,medium_default,50,11.28581953048706
0.75,831197,1000000.0,medium_default,50,11.708776473999023
0.75,709098,1000000.0,high_default,50,10.698573112487791
0.75,436570,1000000.0,high_default,50,10.432302951812744
0.75,831197,1000000.0,high_default,50,10.83922290802002
0.75,709098,5000000.0,none_default,50,20.990036249160767
0.75,436570,5000000.0,none_default,50,19.525901079177856
0.75,831197,5000000.0,none_default,50,19.44123864173889
0.75,709098,5000000.0,low_default,50,20.691174030303955
0.75,436570,5000000.0,low_default,50,20.014063835144043
0.75,831197,5000000.0,low_default,50,20.299718379974365
0.75,709098,5000000.0,medium_default,50,19.30561923980713
0.75,436570,5000000.0,medium_default,50,19.860213041305546
0.75,831197,5000000.0,medium_default,50,18.45043134689331
0.75,709098,5000000.0,high_default,50,16.356415033340454
0.75,436570,5000000.0,high_default,50,16.585688591003418
0.75,831197,5000000.0,high_default,50,16.479530572891235
0.75,709098,10000000.0,none_default,50,21.628081798553467
0.75,436570,10000000.0,none_default,50,19.371806859970093
0.75,831197,10000000.0,none_default,50,19.631537199020386
0.75,709098,10000000.0,low_default,50,20.745203971862797
0.75,436570,10000000.0,low_default,50,20.828808546066284
0.75,831197,10000000.0,low_default,50,20.33543300628662
0.75,709098,10000000.0,medium_default,50,18.3681321144104
0.75,436570,10000000.0,medium_default,50,19.19491577148437
0.75,831197,10000000.0,medium_default,50,19.008766889572144
0.75,709098,10000000.0,high_default,50,16.41486644744873
0.75,436570,10000000.0,high_default,50,16.266100645065308
0.75,831197,10000000.0,high_default,50,16.189744472503662
1.0,709098,1000000.0,none_default,50,13.378905296325684
1.0,436570,1000000.0,none_default,50,12.852131605148315
1.0,831197,1000000.0,none_default,50,13.161418914794922
1.0,709098,1000000.0,low_default,50,12.792283535003662
1.0,436570,1000000.0,low_default,50,12.717753410339355
