financier,apr_strategy,wholesaler_policy,final_wallet,initial_capital,final_capital,capital_change,capital_loss,capital_loss_rate,final_apr,final_utilization,loans_issued,closed_loans,defaults,default_count_rate,total_issued_principal,default_amount,default_amount_to_issued_rate,default_amount_to_initial_capital_rate,outstanding_loans,simulation_end_day,seed,default_scenario,capital_per_financier,strategy_key,strategy_label
Fin_fixed_6_no_screening_1,fixed_6,none,1911235.616858261,1000000.0,1911235.6168582183,911235.6168582183,0.0,0.0,6.0,0.0,1749,1749,0,0.0,53979426.01042947,0.0,0.0,0.0,0,4244,436570,none_default,1000000.0,fixed_6_no_screening,Fixed 6% APR + no screening
Fin_fixed_6_no_screening_2,fixed_6,none,1914317.9172843304,1000000.0,1914317.9172843494,914317.9172843494,0.0,0.0,6.0,0.0,1765,1765,0,0.0,54117075.49462329,0.0,0.0,0.0,0,4244,436570,none_default,1000000.0,fixed_6_no_screening,Fixed 6% APR + no screening
Fin_fixed_6_no_screening_3,fixed_6,none,1914106.962597136,1000000.0,1914106.9625970756,914106.9625970756,0.0,0.0,6.0,0.0,1774,1774,0,0.0,54341631.32673857,0.0,0.0,0.0,0,4244,436570,none_default,1000000.0,fixed_6_no_screening,Fixed 6% APR + no screening
Fin_fixed_6_no_screening_1,fixed_6,none,1633577.422275418,1000000.0,1633577.4222754627,633577.4222754627,0.0,0.0,6.0,0.0,1631,1631,196,0.12017167381974249,48999590.48867377,210161.92337189996,0.004289054689558656,0.21016192337189996,0,4268,436570,low_default,1000000.0,fixed_6_no_screening,Fixed 6% APR + no screening
Fin_fixed_6_no_screening_2,fixed_6,none,1586177.9921308244,1000000.0,1586177.9921308197,586177.9921308197,0.0,0.0,6.0,0.0,1587,1587,221,0.13925645872715817,47956819.96448399,246451.19883064774,0.005139022958844338,0.24645119883064776,0,4268,436570,low_default,1000000.0,fixed_6_no_screening,Fixed 6% APR + no screening
Fin_fixed_6_no_screening_3,fixed_6,none,1648484.2853316567,1000000.0,1648484.285331629,648484.285331629,0.0,0.0,6.0,0.0,1614,1614,196,0.12143742255266418,48852841.70097927,198260.98880425308,0.004058330731665071,0.19826098880425308,0,4268,436570,low_default,1000000.0,fixed_6_no_screening,Fixed 6% APR + no screening
Fin_fixed_6_no_screening_1,fixed_6,none,1270117.89711939,1000000.0,1270117.8971193684,270117.8971193684,0.0,0.0,6.0,0.0,1425,1425,332,0.23298245614035087,41960459.10571334,478300.54906470544,0.011398839747193806,0.4783005490647054,0,4272,436570,medium_default,1000000.0,fixed_6_no_screening,Fixed 6% APR + no screening
Fin_fixed_6_no_screening_2,fixed_6,none,1242017.653781743,1000000.0,1242017.6537817558,242017.65378175583,0.0,0.0,6.0,0.0,1405,1405,343,0.24412811387900357,41295215.67101216,497274.0599599625,0.012041929116477093,0.4972740599599625,0,4272,436570,medium_default,1000000.0,fixed_6_no_screening,Fixed 6% APR + no screening
Fin_fixed_6_no_screening_3,fixed_6,none,1261210.6867301387,1000000.0,1261210.686730125,261210.686730125,0.0,0.0,6.0,0.0,1436,1436,349,0.24303621169916434,42122775.987763144,489183.3462639181,0.011613274168018462,0.4891833462639181,0,4272,436570,medium_default,1000000.0,fixed_6_no_screening,Fixed 6% APR + no screening
Fin_fixed_6_no_screening_1,fixed_6,none,877811.3375984194,1000000.0,877811.3375984115,-122188.66240158852,122188.66240158852,0.12218866240158852,6.0,0.0,1198,1198,427,0.3564273789649416,34075927.53214198,751287.780002192,0.022047463837735388,0.751287780002192,0,4248,436570,high_default,1000000.0,fixed_6_no_screening,Fixed 6% APR + no screening
Fin_fixed_6_no_screening_2,fixed_6,none,884146.6955953593,1000000.0,884146.6955953727,-115853.3044046273,115853.3044046273,0.1158533044046273,6.0,0.0,1197,1197,420,0.3508771929824561,34319310.12979871,748300.557254005,0.021804067576646068,0.748300557254005,0,4248,436570,high_default,1000000.0,fixed_6_no_screening,Fixed 6% APR + no screening
Fin_fixed_6_no_screening_3,fixed_6,none,876896.9919926709,1000000.0,876896.99199268,-123103.00800732,123103.00800732,0.12310300800731999,6.0,0.0,1180,1180,422,0.3576271186440678,33790871.761712454,741578.9134331901,0.021946131448240813,0.74157891343319,0,4248,436570,high_default,1000000.0,fixed_6_no_screening,Fixed 6% APR + no screening
Fin_fixed_6_no_screening_1,fixed_6,none,6999450.386791779,5000000.0,6999450.386792234,1999450.3867922341,0.0,0.0,6.0,0.0,3417,3417,0,0.0,118337398.92276461,0.0,0.0,0.0,0,4244,436570,none_default,5000000.0,fixed_6_no_screening,Fixed 6% APR + no screening
Fin_fixed_6_no_screening_2,fixed_6,none,7060696.65264171,5000000.0,7060696.652641318,2060696.6526413178,0.0,0.0,6.0,0.0,3494,3494,0,0.0,122023449.6575467,0.0,0.0,0.0,0,4244,436570,none_default,5000000.0,fixed_6_no_screening,Fixed 6% APR + no screening
Fin_fixed_6_no_screening_3,fixed_6,none,7027699.640635472,5000000.0,7027699.640635687,2027699.640635687,0.0,0.0,6.0,0.0,3458,3458,0,0.0,120242013.87784655,0.0,0.0,0.0,0,4244,436570,none_default,5000000.0,fixed_6_no_screening,Fixed 6% APR + no screening
Fin_fixed_6_no_screening_1,fixed_6,none,6511523.86248492,5000000.0,6511523.862483788,1511523.8624837883,0.0,0.0,6.0,0.0,3431,3431,448,0.1305741766248907,119530336.55923617,561254.7819718794,0.0046955007249873835,0.11225095639437588,0,4283,436570,low_default,5000000.0,fixed_6_no_screening,Fixed 6% APR + no screening
Fin_fixed_6_no_screening_2,fixed_6,none,6580480.193697615,5000000.0,6580480.193698646,1580480.1936986456,0.0,0.0,6.0,0.0,3527,3527,458,0.12985540119081374,124114394.58150086,576902.3695749983,0.004648150373856677,0.11538047391499966,0,4283,436570,low_default,5000000.0,fixed_6_no_screening,Fixed 6% APR + no screening
Fin_fixed_6_no_screening_3,fixed_6,none,6563697.930935021,5000000.0,6563697.930934339,1563697.9309343388,0.0,0.0,6.0,0.0,3429,3429,420,0.12248468941382328,119627861.15146728,501510.642138389,0.004192256196099664,0.1003021284276778,0,4283,436570,low_default,5000000.0,fixed_6_no_screening,Fixed 6% APR + no screening
Fin_fixed_6_no_screening_1,fixed_6,none,5803767.345107429,5000000.0,5803767.345106818,803767.3451068178,0.0,0.0,6.0,0.0,3463,3463,808,0.23332370776783137,121930594.88286419,1368506.0190787339,0.011223647521718604,0.27370120381574675,0,4285,436570,medium_default,5000000.0,fixed_6_no_screening,Fixed 6% APR + no screening
