financier,apr_strategy,wholesaler_policy,final_wallet,initial_capital,final_capital,capital_change,capital_loss,capital_loss_rate,final_apr,final_utilization,loans_issued,closed_loans,defaults,default_count_rate,total_issued_principal,default_amount,default_amount_to_issued_rate,default_amount_to_initial_capital_rate,outstanding_loans,simulation_end_day,seed,default_scenario,capital_per_financier,strategy_key,strategy_label
Fin_rl_apr_fl_rl_screening_1,pure_rl,fl_rl,5469018.967045753,1000000.0,5469018.967046055,4469018.967046055,0.0,0.0,6.0,0.0,2640,2640,0,0.0,88949737.74581864,0.0,0.0,0.0,0,4253,709098,none_default,1000000.0,rl_apr_fl_rl_screening,RL APR + FL-RL (FedAvg) screening
Fin_rl_apr_fl_rl_screening_2,pure_rl,fl_rl,5692630.77570139,1000000.0,5692630.77570131,4692630.77570131,0.0,0.0,6.0,0.0,2593,2593,0,0.0,91023326.33761302,0.0,0.0,0.0,0,4253,709098,none_default,1000000.0,rl_apr_fl_rl_screening,RL APR + FL-RL (FedAvg) screening
Fin_rl_apr_fl_rl_screening_3,pure_rl,fl_rl,5403055.464169456,1000000.0,5403055.4641691595,4403055.4641691595,0.0,0.0,6.0,0.0,2713,2713,0,0.0,90311945.26806146,0.0,0.0,0.0,0,4253,709098,none_default,1000000.0,rl_apr_fl_rl_screening,RL APR + FL-RL (FedAvg) screening
Fin_rl_apr_fl_rl_screening_1,pure_rl,fl_rl,2946312.155459463,1000000.0,2946312.155459855,1946312.1554598552,0.0,0.0,24.0,0.0,1384,1384,68,0.049132947976878616,46274128.42254362,139284.40022901865,0.00300998430391101,0.13928440022901864,0,4242,709098,low_default,1000000.0,rl_apr_fl_rl_screening,RL APR + FL-RL (FedAvg) screening
Fin_rl_apr_fl_rl_screening_2,pure_rl,fl_rl,4819306.531328946,1000000.0,4819306.531329162,3819306.5313291624,0.0,0.0,6.0,0.0,2358,2358,65,0.0275657336726039,81381411.42258385,145580.12056962188,0.0017888620758084136,0.14558012056962188,0,4242,709098,low_default,1000000.0,rl_apr_fl_rl_screening,RL APR + FL-RL (FedAvg) screening
Fin_rl_apr_fl_rl_screening_3,pure_rl,fl_rl,6761964.341478083,1000000.0,6761964.341478354,5761964.341478354,0.0,0.0,23.0,0.0,3157,3157,19,0.006018371872030409,105921198.60519844,45095.46055045746,0.0004257453762257959,0.045095460550457454,0,4242,709098,low_default,1000000.0,rl_apr_fl_rl_screening,RL APR + FL-RL (FedAvg) screening
Fin_rl_apr_fl_rl_screening_1,pure_rl,fl_rl,3522494.9938295768,1000000.0,3522494.993829244,2522494.993829244,0.0,0.0,6.0,0.0,1552,1552,52,0.03350515463917526,53472294.051904134,138038.39026818957,0.0025814937009098465,0.13803839026818956,0,4244,709098,medium_default,1000000.0,rl_apr_fl_rl_screening,RL APR + FL-RL (FedAvg) screening
Fin_rl_apr_fl_rl_screening_2,pure_rl,fl_rl,3489021.079591169,1000000.0,3489021.0795912324,2489021.0795912324,0.0,0.0,7.0,0.0,1599,1599,72,0.0450281425891182,55266179.52562545,159914.4787089827,0.0028935323570690214,0.1599144787089827,0,4244,709098,medium_default,1000000.0,rl_apr_fl_rl_screening,RL APR + FL-RL (FedAvg) screening
Fin_rl_apr_fl_rl_screening_3,pure_rl,fl_rl,5640070.088329195,1000000.0,5640070.0883291615,4640070.0883291615,0.0,0.0,23.0,0.0,2412,2412,18,0.007462686567164179,82217902.8122407,41723.09913843771,0.0005074697567234216,0.04172309913843771,0,4244,709098,medium_default,1000000.0,rl_apr_fl_rl_screening,RL APR + FL-RL (FedAvg) screening
Fin_rl_apr_fl_rl_screening_1,pure_rl,fl_rl,2725411.260110023,1000000.0,2725411.260110142,1725411.2601101422,0.0,0.0,7.0,0.0,1354,1354,127,0.09379615952732644,47868035.60561411,403545.4132937193,0.00843037338357771,0.4035454132937193,0,4244,709098,high_default,1000000.0,rl_apr_fl_rl_screening,RL APR + FL-RL (FedAvg) screening
