financier,apr_strategy,wholesaler_policy,final_wallet,initial_capital,final_capital,capital_change,capital_loss,capital_loss_rate,final_apr,final_utilization,loans_issued,closed_loans,defaults,default_count_rate,total_issued_principal,default_amount,default_amount_to_issued_rate,default_amount_to_initial_capital_rate,outstanding_loans,simulation_end_day,seed,default_scenario,capital_per_financier,strategy_key,strategy_label
Fin_rl_apr_no_screening_1,pure_rl,none,6465514.549341,1000000.0,6465514.549340448,5465514.549340448,0.0,0.0,10.0,0.0,3023,3023,0,0.0,104368660.360702,0.0,0.0,0.0,0,4249,831197,none_default,1000000.0,rl_apr_no_screening,RL APR + no screening
Fin_rl_apr_no_screening_2,pure_rl,none,3630067.3403303437,1000000.0,3630067.3403306287,2630067.3403306287,0.0,0.0,6.0,0.0,1976,1976,0,0.0,64130139.00464111,0.0,0.0,0.0,0,4249,831197,none_default,1000000.0,rl_apr_no_screening,RL APR + no screening
Fin_rl_apr_no_screening_3,pure_rl,none,4991856.702979589,1000000.0,4991856.702979483,3991856.7029794827,0.0,0.0,6.0,0.0,2621,2621,0,0.0,88719249.61036637,0.0,0.0,0.0,0,4249,831197,none_default,1000000.0,rl_apr_no_screening,RL APR + no screening
Fin_rl_apr_no_screening_1,pure_rl,none,4255390.124354038,1000000.0,4255390.124353844,3255390.1243538437,0.0,0.0,6.0,0.0,2314,2314,179,0.0773552290406223,73851020.96226996,343538.69210678956,0.004651779862086151,0.34353869210678956,0,4247,831197,low_default,1000000.0,rl_apr_no_screening,RL APR + no screening
Fin_rl_apr_no_screening_2,pure_rl,none,5422569.7991310535,1000000.0,5422569.799131521,4422569.799131521,0.0,0.0,6.0,0.0,2646,2646,132,0.049886621315192746,90377282.90267393,267445.32278753945,0.002959209595574451,0.26744532278753946,0,4247,831197,low_default,1000000.0,rl_apr_no_screening,RL APR + no screening
Fin_rl_apr_no_screening_3,pure_rl,none,5002026.5782918045,1000000.0,5002026.578290999,4002026.578290999,0.0,0.0,6.0,0.0,2333,2333,130,0.05572224603514788,81047887.68502524,263102.476019926,0.0032462595082356225,0.26310247601992603,0,4247,831197,low_default,1000000.0,rl_apr_no_screening,RL APR + no screening
Fin_rl_apr_no_screening_1,pure_rl,none,5101147.286802843,1000000.0,5101147.286802501,4101147.2868025014,0.0,0.0,7.0,0.0,2481,2481,194,0.07819427650141073,83375950.35187893,454964.30885448994,0.0054567810853653085,0.45496430885448996,0,4281,831197,medium_default,1000000.0,rl_apr_no_screening,RL APR + no screening
Fin_rl_apr_no_screening_2,pure_rl,none,3684766.4667326263,1000000.0,3684766.466732572,2684766.466732572,0.0,0.0,7.0,0.0,1776,1776,206,0.11599099099099099,60187604.63004539,442228.7430957942,0.007347505284751531,0.44222874309579424,0,4281,831197,medium_default,1000000.0,rl_apr_no_screening,RL APR + no screening
Fin_rl_apr_no_screening_3,pure_rl,none,4567630.6835998045,1000000.0,4567630.683599975,3567630.683599975,0.0,0.0,6.0,0.0,2321,2321,249,0.10728134424816889,80175963.17568691,588058.5336416586,0.007334598929021477,0.5880585336416586,0,4281,831197,medium_default,1000000.0,rl_apr_no_screening,RL APR + no screening
Fin_rl_apr_no_screening_1,pure_rl,none,3729353.4847526667,1000000.0,3729353.4847527537,2729353.4847527537,0.0,0.0,7.0,0.0,2342,2342,431,0.18403074295473953,75116250.43767639,1318764.6561713514,0.01755631635614619,1.3187646561713515,0,4281,831197,high_default,1000000.0,rl_apr_no_screening,RL APR + no screening
Fin_rl_apr_no_screening_2,pure_rl,none,4223726.980790989,1000000.0,4223726.980790221,3223726.980790221,0.0,0.0,7.0,0.0,2115,2115,306,0.14468085106382977,75126433.11196266,863343.7946139446,0.011491877876423114,0.8633437946139446,0,4281,831197,high_default,1000000.0,rl_apr_no_screening,RL APR + no screening
Fin_rl_apr_no_screening_3,pure_rl,none,2928145.8621382015,1000000.0,2928145.8621382583,1928145.8621382583,0.0,0.0,7.0,0.0,1648,1648,315,0.19114077669902912,55601246.38909512,794622.2622877121,0.014291446934965807,0.794622262287712,0,4281,831197,high_default,1000000.0,rl_apr_no_screening,RL APR + no screening
Fin_rl_apr_no_screening_1,pure_rl,none,7052063.400382134,5000000.0,7052063.400381677,2052063.4003816769,0.0,0.0,10.0,0.0,3450,3450,0,0.0,121410380.28200458,0.0,0.0,0.0,0,4251,831197,none_default,5000000.0,rl_apr_no_screening,RL APR + no screening
Fin_rl_apr_no_screening_2,pure_rl,none,7075460.143765162,5000000.0,7075460.143765026,2075460.1437650258,0.0,0.0,6.0,0.0,3496,3496,0,0.0,123004326.10538751,0.0,0.0,0.0,0,4251,831197,none_default,5000000.0,rl_apr_no_screening,RL APR + no screening
Fin_rl_apr_no_screening_3,pure_rl,none,7026016.655528606,5000000.0,7026016.655528871,2026016.6555288713,0.0,0.0,6.0,0.0,3428,3428,0,0.0,120012544.68619448,0.0,0.0,0.0,0,4251,831197,none_default,5000000.0,rl_apr_no_screening,RL APR + no screening
Fin_rl_apr_no_screening_1,pure_rl,none,6496040.092231229,5000000.0,6496040.0922298925,1496040.0922298925,0.0,0.0,10.0,0.0,2589,2589,329,0.12707609115488605,91716780.64720972,471166.495538922,0.005137189642005345,0.0942332991077844,0,4281,831197,low_default,5000000.0,rl_apr_no_screening,RL APR + no screening
Fin_rl_apr_no_screening_2,pure_rl,none,6276890.62628295,5000000.0,6276890.626284129,1276890.626284129,0.0,0.0,8.0,0.0,2413,2413,320,0.1326150020721094,84604915.42014958,441043.0684362401,0.0052129721570669035,0.08820861368724801,0,4281,831197,low_default,5000000.0,rl_apr_no_screening,RL APR + no screening
Fin_rl_apr_no_screening_3,pure_rl,none,8874601.634111844,5000000.0,8874601.634112822,3874601.634112822,0.0,0.0,7.0,0.0,5348,5348,674,0.12602842183994017,186883524.9318541,1105285.870899573,0.005914303421356209,0.2210571741799146,0,4281,831197,low_default,5000000.0,rl_apr_no_screening,RL APR + no screening
Fin_rl_apr_no_screening_1,pure_rl,none,6056016.849392894,5000000.0,6056016.849393055,1056016.8493930548,0.0,0.0,8.0,0.0,3746,3746,869,0.23198077949813134,130783359.14714065,1509525.6855950437,0.011542184689542339,0.30190513711900874,0,4290,831197,medium_default,5000000.0,rl_apr_no_screening,RL APR + no screening
