financier,apr_strategy,wholesaler_policy,final_wallet,initial_capital,final_capital,capital_change,capital_loss,capital_loss_rate,final_apr,final_utilization,loans_issued,closed_loans,defaults,default_count_rate,total_issued_principal,default_amount,default_amount_to_issued_rate,default_amount_to_initial_capital_rate,outstanding_loans,simulation_end_day,seed,default_scenario,capital_per_financier
Fin_rl_1,pure_rl,rl,5589995.51870945,1000000.0,5589995.518709888,4589995.518709888,0.0,0.0,6.0,0.0,2589,2589,0,0.0,84449877.22825359,0.0,0.0,0.0,0,4245,758243,none_default,1000000.0
Fin_rl_2,pure_rl,rl,4442822.173617305,1000000.0,4442822.173617813,3442822.173617813,0.0,0.0,6.0,0.0,2070,2070,0,0.0,70900988.19755821,0.0,0.0,0.0,0,4245,758243,none_default,1000000.0
Fin_rl_3,pure_rl,rl,7152594.543822475,1000000.0,7152594.543822179,6152594.543822179,0.0,0.0,6.0,0.0,3124,3124,0,0.0,109417573.7574844,0.0,0.0,0.0,0,4245,758243,none_default,1000000.0
Fin_fl_rl_1,pure_rl,fl_rl,5352999.525976604,1000000.0,5352999.525977431,4352999.525977431,0.0,0.0,6.0,0.0,2720,2720,0,0.0,88532949.57885039,0.0,0.0,0.0,0,4249,758243,none_default,1000000.0
Fin_fl_rl_2,pure_rl,fl_rl,5924211.236332657,1000000.0,5924211.236331954,4924211.236331954,0.0,0.0,6.0,0.0,2700,2700,0,0.0,93757498.9156808,0.0,0.0,0.0,0,4249,758243,none_default,1000000.0
Fin_fl_rl_3,pure_rl,fl_rl,5678923.858702126,1000000.0,5678923.858702809,4678923.858702809,0.0,0.0,6.0,0.0,2409,2409,0,0.0,82430602.46816301,0.0,0.0,0.0,0,4249,758243,none_default,1000000.0
Fin_rl_1,pure_rl,rl,4816734.192622673,1000000.0,4816734.192622404,3816734.1926224036,0.0,0.0,6.0,0.0,2344,2344,19,0.008105802047781569,78944068.71885334,33502.60948353738,0.00042438412444703805,0.03350260948353738,0,4251,758243,low_default,1000000.0
Fin_rl_2,pure_rl,rl,3372628.233742987,1000000.0,3372628.233743291,2372628.233743291,0.0,0.0,10.0,0.0,1431,1431,57,0.039832285115303984,49634900.83559642,106428.49278853115,0.0021442269652366132,0.10642849278853114,0,4251,758243,low_default,1000000.0
Fin_rl_3,pure_rl,rl,6195616.870444835,1000000.0,6195616.870444477,5195616.870444477,0.0,0.0,28.0,0.0,2710,2710,13,0.004797047970479705,92367405.57212894,23965.687211234177,0.0002594604348015337,0.023965687211234175,0,4251,758243,low_default,1000000.0
Fin_fl_rl_1,pure_rl,fl_rl,3636951.770786992,1000000.0,3636951.770787398,2636951.770787398,0.0,0.0,6.0,0.0,1429,1429,29,0.020293911826452064,49843413.12764667,63148.26083790454,0.0012669329180203766,0.06314826083790454,0,4253,758243,low_default,1000000.0
Fin_fl_rl_2,pure_rl,fl_rl,5372280.3049211,1000000.0,5372280.30492111,4372280.30492111,0.0,0.0,6.0,0.0,2312,2312,67,0.02897923875432526,79075573.68033338,130002.54335912247,0.0016440290889910417,0.13000254335912248,0,4253,758243,low_default,1000000.0
Fin_fl_rl_3,pure_rl,fl_rl,6537437.926869072,1000000.0,6537437.926869544,5537437.926869544,0.0,0.0,28.0,0.0,2738,2738,40,0.014609203798392988,93187538.56279829,77361.96742568642,0.0008301750278933792,0.07736196742568642,0,4253,758243,low_default,1000000.0
Fin_rl_1,pure_rl,rl,4355269.190542277,1000000.0,4355269.190542045,3355269.190542045,0.0,0.0,6.0,0.0,2129,2129,60,0.028182245185533115,72886874.8985163,157791.19579618698,0.0021648780526793998,0.15779119579618697,0,4258,758243,medium_default,1000000.0
Fin_rl_2,pure_rl,rl,4569125.012245178,1000000.0,4569125.012245214,3569125.0122452136,0.0,0.0,6.0,0.0,2083,2083,240,0.11521843494959194,73325214.09768933,587148.3628717917,0.008007455144823018,0.5871483628717917,0,4258,758243,medium_default,1000000.0
Fin_rl_3,pure_rl,rl,4356363.874418358,1000000.0,4356363.87441859,3356363.87441859,0.0,0.0,6.0,0.0,2108,2108,97,0.04601518026565465,70855565.68127063,209054.61516780083,0.002950433225079178,0.20905461516780083,0,4258,758243,medium_default,1000000.0
Fin_fl_rl_1,pure_rl,fl_rl,4111105.6015264443,1000000.0,4111105.6015255824,3111105.6015255824,0.0,0.0,6.0,0.0,1653,1653,90,0.0544464609800363,55854363.21740875,217483.3584917487,0.00389375772927912,0.21748335849174869,0,4241,758243,medium_default,1000000.0
Fin_fl_rl_2,pure_rl,fl_rl,4703106.339257224,1000000.0,4703106.339256766,3703106.3392567663,0.0,0.0,12.0,0.0,1910,1910,128,0.06701570680628273,65354971.294416025,274736.52547124197,0.004203758643448683,0.27473652547124194,0,4241,758243,medium_default,1000000.0
Fin_fl_rl_3,pure_rl,fl_rl,5765206.341510005,1000000.0,5765206.341510458,4765206.341510458,0.0,0.0,6.0,0.0,2232,2232,52,0.023297491039426525,77440499.03955182,109395.99373382736,0.0014126457743764622,0.10939599373382736,0,4241,758243,medium_default,1000000.0
Fin_rl_1,pure_rl,rl,2558688.50717888,1000000.0,2558688.507179131,1558688.5071791308,0.0,0.0,7.0,0.0,1260,1260,103,0.08174603174603175,43383862.62052972,331570.59849779285,0.007642717325517484,0.33157059849779286,0,4253,758243,high_default,1000000.0
