financier,apr_strategy,wholesaler_policy,final_wallet,initial_capital,final_capital,capital_change,capital_loss,capital_loss_rate,final_apr,final_utilization,loans_issued,closed_loans,defaults,default_count_rate,total_issued_principal,default_amount,default_amount_to_issued_rate,default_amount_to_initial_capital_rate,outstanding_loans,simulation_end_day,seed,default_scenario,capital_per_financier
Fin_fl_rl_1,pure_rl,fl_rl,5469018.967045753,1000000.0,5469018.967046055,4469018.967046055,0.0,0.0,6.0,0.0,2640,2640,0,0.0,88949737.74581864,0.0,0.0,0.0,0,4253,709098,none_default,1000000.0
Fin_fl_rl_2,pure_rl,fl_rl,5692630.77570139,1000000.0,5692630.77570131,4692630.77570131,0.0,0.0,6.0,0.0,2593,2593,0,0.0,91023326.33761302,0.0,0.0,0.0,0,4253,709098,none_default,1000000.0
Fin_fl_rl_3,pure_rl,fl_rl,5403055.464169456,1000000.0,5403055.4641691595,4403055.4641691595,0.0,0.0,6.0,0.0,2713,2713,0,0.0,90311945.26806146,0.0,0.0,0.0,0,4253,709098,none_default,1000000.0
Fin_fl_rl_prox_1,pure_rl,fl_rl_prox,5193976.293669863,1000000.0,5193976.293669809,4193976.2936698087,0.0,0.0,6.0,0.0,2406,2406,0,0.0,83370607.54299836,0.0,0.0,0.0,0,4247,709098,none_default,1000000.0
Fin_fl_rl_prox_2,pure_rl,fl_rl_prox,5492748.008913074,1000000.0,5492748.008913278,4492748.008913278,0.0,0.0,6.0,0.0,2677,2677,0,0.0,90097569.11130996,0.0,0.0,0.0,0,4247,709098,none_default,1000000.0
Fin_fl_rl_prox_3,pure_rl,fl_rl_prox,5899283.636294098,1000000.0,5899283.636294211,4899283.636294211,0.0,0.0,6.0,0.0,2794,2794,0,0.0,94409371.64579433,0.0,0.0,0.0,0,4247,709098,none_default,1000000.0
Fin_fl_rl_scaffold_1,pure_rl,fl_rl_scaffold,5333045.34336249,1000000.0,5333045.343362888,4333045.343362888,0.0,0.0,6.0,0.0,2530,2530,0,0.0,87556070.46511276,0.0,0.0,0.0,0,4250,709098,none_default,1000000.0
Fin_fl_rl_scaffold_2,pure_rl,fl_rl_scaffold,5458836.149436392,1000000.0,5458836.149436211,4458836.149436211,0.0,0.0,6.0,0.0,2578,2578,0,0.0,89874697.15841927,0.0,0.0,0.0,0,4250,709098,none_default,1000000.0
Fin_fl_rl_scaffold_3,pure_rl,fl_rl_scaffold,5442642.634569961,1000000.0,5442642.634570151,4442642.634570151,0.0,0.0,6.0,0.0,2818,2818,0,0.0,91643230.64496432,0.0,0.0,0.0,0,4250,709098,none_default,1000000.0
Fin_fl_rl_visitweighted_1,pure_rl,fl_rl_visitweighted,6184307.387858086,1000000.0,6184307.38785882,5184307.38785882,0.0,0.0,6.0,0.0,2756,2756,0,0.0,94402167.41482475,0.0,0.0,0.0,0,4249,709098,none_default,1000000.0
Fin_fl_rl_visitweighted_2,pure_rl,fl_rl_visitweighted,5508069.5032664,1000000.0,5508069.503266265,4508069.503266265,0.0,0.0,6.0,0.0,2519,2519,0,0.0,84237570.71052931,0.0,0.0,0.0,0,4249,709098,none_default,1000000.0
Fin_fl_rl_visitweighted_3,pure_rl,fl_rl_visitweighted,6016929.877451579,1000000.0,6016929.877451348,5016929.877451348,0.0,0.0,6.0,0.0,2655,2655,0,0.0,90760172.6596355,0.0,0.0,0.0,0,4249,709098,none_default,1000000.0
Fin_fl_rl_1,pure_rl,fl_rl,4824662.281107924,1000000.0,4824662.281107701,3824662.2811077014,0.0,0.0,6.0,0.0,2451,2451,0,0.0,79790971.38638054,0.0,0.0,0.0,0,4249,436570,none_default,1000000.0
Fin_fl_rl_2,pure_rl,fl_rl,6103888.723921121,1000000.0,6103888.723921161,5103888.723921161,0.0,0.0,6.0,0.0,2946,2946,0,0.0,98307392.72397956,0.0,0.0,0.0,0,4249,436570,none_default,1000000.0
Fin_fl_rl_3,pure_rl,fl_rl,4634330.648539118,1000000.0,4634330.648540251,3634330.648540251,0.0,0.0,6.0,0.0,1933,1933,0,0.0,66682119.58235477,0.0,0.0,0.0,0,4249,436570,none_default,1000000.0
Fin_fl_rl_prox_1,pure_rl,fl_rl_prox,6340420.862500233,1000000.0,6340420.862500299,5340420.862500299,0.0,0.0,6.0,0.0,2836,2836,0,0.0,96351247.7645304,0.0,0.0,0.0,0,4254,436570,none_default,1000000.0
Fin_fl_rl_prox_2,pure_rl,fl_rl_prox,5788051.259286105,1000000.0,5788051.259285873,4788051.259285873,0.0,0.0,6.0,0.0,2911,2911,0,0.0,94443885.78631498,0.0,0.0,0.0,0,4254,436570,none_default,1000000.0
Fin_fl_rl_prox_3,pure_rl,fl_rl_prox,4338145.375234633,1000000.0,4338145.375234697,3338145.375234697,0.0,0.0,6.0,0.0,1761,1761,0,0.0,60735069.866137765,0.0,0.0,0.0,0,4254,436570,none_default,1000000.0
Fin_fl_rl_scaffold_1,pure_rl,fl_rl_scaffold,6302631.957112771,1000000.0,6302631.95711264,5302631.95711264,0.0,0.0,6.0,0.0,2969,2969,0,0.0,101870685.9248563,0.0,0.0,0.0,0,4255,436570,none_default,1000000.0
Fin_fl_rl_scaffold_2,pure_rl,fl_rl_scaffold,6005153.1862759655,1000000.0,6005153.186276307,5005153.186276307,0.0,0.0,6.0,0.0,2850,2850,0,0.0,96346911.25903709,0.0,0.0,0.0,0,4255,436570,none_default,1000000.0
Fin_fl_rl_scaffold_3,pure_rl,fl_rl_scaffold,5212543.760304289,1000000.0,5212543.760305677,4212543.760305677,0.0,0.0,6.0,0.0,2188,2188,0,0.0,75147429.28208043,0.0,0.0,0.0,0,4255,436570,none_default,1000000.0
Fin_fl_rl_visitweighted_1,pure_rl,fl_rl_visitweighted,5625197.452797771,1000000.0,5625197.452798452,4625197.452798452,0.0,0.0,6.0,0.0,2755,2755,0,0.0,91453957.53824954,0.0,0.0,0.0,0,4239,436570,none_default,1000000.0
Fin_fl_rl_visitweighted_2,pure_rl,fl_rl_visitweighted,6622235.001630687,1000000.0,6622235.001631096,5622235.001631096,0.0,0.0,6.0,0.0,2860,2860,0,0.0,100696039.76947497,0.0,0.0,0.0,0,4239,436570,none_default,1000000.0
Fin_fl_rl_visitweighted_3,pure_rl,fl_rl_visitweighted,4826740.622888414,1000000.0,4826740.622887743,3826740.6228877427,0.0,0.0,6.0,0.0,2299,2299,0,0.0,74259281.23440507,0.0,0.0,0.0,0,4239,436570,none_default,1000000.0
Fin_fl_rl_1,pure_rl,fl_rl,5585699.3099722825,1000000.0,5585699.309972005,4585699.309972005,0.0,0.0,6.0,0.0,2509,2509,0,0.0,87229236.20812762,0.0,0.0,0.0,0,4267,831197,none_default,1000000.0
Fin_fl_rl_2,pure_rl,fl_rl,6091199.415016134,1000000.0,6091199.415015845,5091199.415015845,0.0,0.0,6.0,0.0,2940,2940,0,0.0,98297589.14605454,0.0,0.0,0.0,0,4267,831197,none_default,1000000.0
Fin_fl_rl_3,pure_rl,fl_rl,5853200.618290948,1000000.0,5853200.618290828,4853200.618290828,0.0,0.0,6.0,0.0,2389,2389,0,0.0,82323821.1388427,0.0,0.0,0.0,0,4267,831197,none_default,1000000.0
Fin_fl_rl_prox_1,pure_rl,fl_rl_prox,4358696.223031145,1000000.0,4358696.223031086,3358696.223031086,0.0,0.0,6.0,0.0,1894,1894,0,0.0,64743820.96654219,0.0,0.0,0.0,0,4260,831197,none_default,1000000.0
Fin_fl_rl_prox_2,pure_rl,fl_rl_prox,7200676.236641964,1000000.0,7200676.236642375,6200676.236642375,0.0,0.0,6.0,0.0,3261,3261,0,0.0,110724316.0353,0.0,0.0,0.0,0,4260,831197,none_default,1000000.0
Fin_fl_rl_prox_3,pure_rl,fl_rl_prox,6589069.386883784,1000000.0,6589069.386884338,5589069.386884338,0.0,0.0,6.0,0.0,2698,2698,0,0.0,92429804.50591306,0.0,0.0,0.0,0,4260,831197,none_default,1000000.0
Fin_fl_rl_scaffold_1,pure_rl,fl_rl_scaffold,5459593.423404547,1000000.0,5459593.423404628,4459593.423404628,0.0,0.0,6.0,0.0,2604,2604,0,0.0,88954067.10357918,0.0,0.0,0.0,0,4255,831197,none_default,1000000.0
Fin_fl_rl_scaffold_2,pure_rl,fl_rl_scaffold,6735629.411855928,1000000.0,6735629.411856587,5735629.411856587,0.0,0.0,6.0,0.0,3199,3199,0,0.0,107208106.49177842,0.0,0.0,0.0,0,4255,831197,none_default,1000000.0
Fin_fl_rl_scaffold_3,pure_rl,fl_rl_scaffold,5425883.210601966,1000000.0,5425883.210601119,4425883.210601119,0.0,0.0,6.0,0.0,2093,2093,0,0.0,73481961.76445423,0.0,0.0,0.0,0,4255,831197,none_default,1000000.0
Fin_fl_rl_visitweighted_1,pure_rl,fl_rl_visitweighted,5065733.000001667,1000000.0,5065733.000001948,4065733.0000019483,0.0,0.0,6.0,0.0,2721,2721,0,0.0,89322125.18910702,0.0,0.0,0.0,0,4258,831197,none_default,1000000.0
Fin_fl_rl_visitweighted_2,pure_rl,fl_rl_visitweighted,4814439.688922198,1000000.0,4814439.688922431,3814439.6889224313,0.0,0.0,6.0,0.0,2418,2418,0,0.0,81531545.2982937,0.0,0.0,0.0,0,4258,831197,none_default,1000000.0
Fin_fl_rl_visitweighted_3,pure_rl,fl_rl_visitweighted,4882972.187062263,1000000.0,4882972.187062411,3882972.1870624106,0.0,0.0,6.0,0.0,2196,2196,0,0.0,74931803.43124065,0.0,0.0,0.0,0,4258,831197,none_default,1000000.0
Fin_fl_rl_1,pure_rl,fl_rl,2946312.155459463,1000000.0,2946312.155459855,1946312.1554598552,0.0,0.0,24.0,0.0,1384,1384,68,0.049132947976878616,46274128.42254362,139284.40022901865,0.00300998430391101,0.13928440022901864,0,4242,709098,low_default,1000000.0
Fin_fl_rl_2,pure_rl,fl_rl,4819306.531328946,1000000.0,4819306.531329162,3819306.5313291624,0.0,0.0,6.0,0.0,2358,2358,65,0.0275657336726039,81381411.42258385,145580.12056962188,0.0017888620758084136,0.14558012056962188,0,4242,709098,low_default,1000000.0
Fin_fl_rl_3,pure_rl,fl_rl,6761964.341478083,1000000.0,6761964.341478354,5761964.341478354,0.0,0.0,23.0,0.0,3157,3157,19,0.006018371872030409,105921198.60519844,45095.46055045746,0.0004257453762257959,0.045095460550457454,0,4242,709098,low_default,1000000.0
Fin_fl_rl_prox_1,pure_rl,fl_rl_prox,2946312.155459463,1000000.0,2946312.155459855,1946312.1554598552,0.0,0.0,24.0,0.0,1384,1384,68,0.049132947976878616,46274128.42254362,139284.40022901865,0.00300998430391101,0.13928440022901864,0,4242,709098,low_default,1000000.0
Fin_fl_rl_prox_2,pure_rl,fl_rl_prox,4819306.531328946,1000000.0,4819306.531329162,3819306.5313291624,0.0,0.0,6.0,0.0,2358,2358,65,0.0275657336726039,81381411.42258385,145580.12056962188,0.0017888620758084136,0.14558012056962188,0,4242,709098,low_default,1000000.0
Fin_fl_rl_prox_3,pure_rl,fl_rl_prox,6761964.341478083,1000000.0,6761964.341478354,5761964.341478354,0.0,0.0,23.0,0.0,3157,3157,19,0.006018371872030409,105921198.60519844,45095.46055045746,0.0004257453762257959,0.045095460550457454,0,4242,709098,low_default,1000000.0
Fin_fl_rl_scaffold_1,pure_rl,fl_rl_scaffold,2665958.522822978,1000000.0,2665958.5228225114,1665958.5228225114,0.0,0.0,24.0,0.0,1128,1128,73,0.06471631205673758,38094518.325759485,147528.8307228121,0.003872704977163426,0.1475288307228121,0,4243,709098,low_default,1000000.0
Fin_fl_rl_scaffold_2,pure_rl,fl_rl_scaffold,5503509.132412673,1000000.0,5503509.132412894,4503509.132412894,0.0,0.0,6.0,0.0,2297,2297,81,0.035263387026556375,79341286.65374653,172441.86920109717,0.002173419117257968,0.17244186920109716,0,4243,709098,low_default,1000000.0
Fin_fl_rl_scaffold_3,pure_rl,fl_rl_scaffold,7481638.8965727715,1000000.0,7481638.896573078,6481638.896573078,0.0,0.0,23.0,0.0,3162,3162,27,0.008538899430740038,107504448.69328114,62998.81563096442,0.0005860112432249675,0.06299881563096442,0,4243,709098,low_default,1000000.0
Fin_fl_rl_visitweighted_1,pure_rl,fl_rl_visitweighted,4373804.875834367,1000000.0,4373804.875834498,3373804.8758344976,0.0,0.0,24.0,0.0,2118,2118,76,0.03588290840415486,72264430.11736602,169322.77595629924,0.0023430998581362773,0.16932277595629924,0,4261,709098,low_default,1000000.0
