financier,apr_strategy,wholesaler_policy,final_wallet,initial_capital,final_capital,capital_change,capital_loss,capital_loss_rate,final_apr,final_utilization,loans_issued,closed_loans,defaults,default_count_rate,total_issued_principal,default_amount,default_amount_to_issued_rate,default_amount_to_initial_capital_rate,outstanding_loans,simulation_end_day,seed,default_scenario,capital_per_financier
Fin_fl_rl_1,pure_rl,fl_rl,5571695.2545135375,1000000.0,5571695.254513466,4571695.254513466,0.0,0.0,6.0,0.0,2687,2687,0,0.0,95750393.41135134,0.0,0.0,0.0,0,4256,538907,none_default,1000000.0
Fin_fl_rl_2,pure_rl,fl_rl,5089202.546547482,1000000.0,5089202.546547679,4089202.546547679,0.0,0.0,6.0,0.0,2623,2623,0,0.0,87533953.66705096,0.0,0.0,0.0,0,4256,538907,none_default,1000000.0
Fin_fl_rl_3,pure_rl,fl_rl,4607322.594213505,1000000.0,4607322.5942130815,3607322.5942130815,0.0,0.0,6.0,0.0,2593,2593,0,0.0,82648481.48316446,0.0,0.0,0.0,0,4256,538907,none_default,1000000.0
Fin_fl_rl_prox_1,pure_rl,fl_rl_prox,5545442.429937992,1000000.0,5545442.429937595,4545442.429937595,0.0,0.0,6.0,0.0,2711,2711,0,0.0,96286170.31417689,0.0,0.0,0.0,0,4256,538907,none_default,1000000.0
Fin_fl_rl_prox_2,pure_rl,fl_rl_prox,5059097.350943602,1000000.0,5059097.35094367,4059097.3509436697,0.0,0.0,6.0,0.0,2604,2604,0,0.0,87231869.69447221,0.0,0.0,0.0,0,4256,538907,none_default,1000000.0
Fin_fl_rl_prox_3,pure_rl,fl_rl_prox,4590354.216565261,1000000.0,4590354.216564704,3590354.2165647037,0.0,0.0,6.0,0.0,2584,2584,0,0.0,82692144.04354554,0.0,0.0,0.0,0,4256,538907,none_default,1000000.0
Fin_fl_rl_scaffold_1,pure_rl,fl_rl_scaffold,5364673.978488426,1000000.0,5364673.9784884835,4364673.9784884835,0.0,0.0,6.0,0.0,2690,2690,0,0.0,94131282.52374515,0.0,0.0,0.0,0,4249,538907,none_default,1000000.0
Fin_fl_rl_scaffold_2,pure_rl,fl_rl_scaffold,5011302.936360044,1000000.0,5011302.936360555,4011302.936360555,0.0,0.0,6.0,0.0,2525,2525,0,0.0,84960940.71616304,0.0,0.0,0.0,0,4249,538907,none_default,1000000.0
Fin_fl_rl_scaffold_3,pure_rl,fl_rl_scaffold,5212247.4890887765,1000000.0,5212247.489088274,4212247.489088274,0.0,0.0,6.0,0.0,2746,2746,0,0.0,89956925.47168097,0.0,0.0,0.0,0,4249,538907,none_default,1000000.0
Fin_fl_rl_1,pure_rl,fl_rl,3903516.169256169,1000000.0,3903516.169256266,2903516.169256266,0.0,0.0,6.0,0.0,1632,1632,52,0.031862745098039214,55321788.96585053,106927.52900178148,0.001932828475011655,0.10692752900178149,0,4243,538907,low_default,1000000.0
Fin_fl_rl_2,pure_rl,fl_rl,3815136.939427999,1000000.0,3815136.939427981,2815136.939427981,0.0,0.0,6.0,0.0,1525,1525,37,0.024262295081967214,53685082.568560295,76414.40117974194,0.0014233823908560523,0.07641440117974194,0,4243,538907,low_default,1000000.0
Fin_fl_rl_3,pure_rl,fl_rl,5308015.524340438,1000000.0,5308015.524340068,4308015.524340068,0.0,0.0,6.0,0.0,2956,2956,25,0.008457374830852503,96050702.07174255,52491.39715328063,0.0005464967566199939,0.05249139715328063,0,4243,538907,low_default,1000000.0
Fin_fl_rl_prox_1,pure_rl,fl_rl_prox,3465633.79254117,1000000.0,3465633.7925413563,2465633.7925413563,0.0,0.0,6.0,0.0,1778,1778,72,0.04049493813273341,59854005.04218827,165376.66052825033,0.002763000745091061,0.16537666052825034,0,4248,538907,low_default,1000000.0
Fin_fl_rl_prox_2,pure_rl,fl_rl_prox,3604279.277585224,1000000.0,3604279.277585089,2604279.277585089,0.0,0.0,6.0,0.0,1758,1758,79,0.044937428896473265,60732160.42875867,174662.57594453468,0.0028759486689004105,0.1746625759445347,0,4248,538907,low_default,1000000.0
Fin_fl_rl_prox_3,pure_rl,fl_rl_prox,5251328.957423692,1000000.0,5251328.957424164,4251328.957424164,0.0,0.0,6.0,0.0,2611,2611,14,0.005361930294906166,88153467.13869551,22424.20710181059,0.0002543769159587297,0.02242420710181059,0,4248,538907,low_default,1000000.0
Fin_fl_rl_scaffold_1,pure_rl,fl_rl_scaffold,3684970.7296273117,1000000.0,3684970.7296269685,2684970.7296269685,0.0,0.0,6.0,0.0,1744,1744,53,0.030389908256880736,59671686.50869083,109451.85995279421,0.001834234397528771,0.10945185995279422,0,4248,538907,low_default,1000000.0
Fin_fl_rl_scaffold_2,pure_rl,fl_rl_scaffold,4176681.919328313,1000000.0,4176681.9193281587,3176681.9193281587,0.0,0.0,6.0,0.0,1954,1954,60,0.030706243602865915,68219495.9719007,126385.14235665859,0.0018526249799429191,0.1263851423566586,0,4248,538907,low_default,1000000.0
Fin_fl_rl_scaffold_3,pure_rl,fl_rl_scaffold,4454905.585899285,1000000.0,4454905.585898757,3454905.585898757,0.0,0.0,6.0,0.0,2399,2399,35,0.014589412255106295,78558805.69302434,68799.05864121951,0.0008757650785840364,0.06879905864121952,0,4248,538907,low_default,1000000.0
Fin_fl_rl_1,pure_rl,fl_rl,4331942.266483427,1000000.0,4331942.26648344,3331942.26648344,0.0,0.0,6.0,0.0,2215,2215,31,0.01399548532731377,75549697.8962396,91214.66839770938,0.0012073465670634997,0.09121466839770938,0,4256,538907,medium_default,1000000.0
Fin_fl_rl_2,pure_rl,fl_rl,2834699.5210808935,1000000.0,2834699.5210814225,1834699.5210814225,0.0,0.0,24.0,0.0,1124,1124,54,0.04804270462633452,39530652.53448476,122168.24953015873,0.0030904688310820234,0.12216824953015873,0,4256,538907,medium_default,1000000.0
Fin_fl_rl_3,pure_rl,fl_rl,6793521.428994609,1000000.0,6793521.428994216,5793521.428994216,0.0,0.0,6.0,0.0,2834,2834,17,0.005998588567395907,96132836.5047515,31011.22073382286,0.0003225871810439099,0.031011220733822863,0,4256,538907,medium_default,1000000.0
Fin_fl_rl_prox_1,pure_rl,fl_rl_prox,4621691.695954081,1000000.0,4621691.695953973,3621691.6959539726,0.0,0.0,6.0,0.0,2170,2170,34,0.01566820276497696,74019134.24922599,104904.52199293813,0.0014172622127640612,0.10490452199293812,0,4257,538907,medium_default,1000000.0
Fin_fl_rl_prox_2,pure_rl,fl_rl_prox,3483522.140635877,1000000.0,3483522.140635532,2483522.140635532,0.0,0.0,6.0,0.0,1688,1688,58,0.034360189573459717,58468200.24404429,126486.95303177882,0.00216334610102289,0.12648695303177881,0,4257,538907,medium_default,1000000.0
Fin_fl_rl_prox_3,pure_rl,fl_rl_prox,5590508.296818073,1000000.0,5590508.296817821,4590508.296817821,0.0,0.0,6.0,0.0,2401,2401,18,0.007496876301541024,82261766.3312453,33944.96695393502,0.00041264573407344624,0.03394496695393502,0,4257,538907,medium_default,1000000.0
Fin_fl_rl_scaffold_1,pure_rl,fl_rl_scaffold,3381755.4319055765,1000000.0,3381755.431905358,2381755.431905358,0.0,0.0,6.0,0.0,1476,1476,57,0.03861788617886179,50985183.697035685,157227.28068599093,0.0030837837443181016,0.15722728068599093,0,4249,538907,medium_default,1000000.0
Fin_fl_rl_scaffold_2,pure_rl,fl_rl_scaffold,4445761.861458846,1000000.0,4445761.861457868,3445761.8614578675,0.0,0.0,6.0,0.0,1999,1999,75,0.03751875937968985,68078171.08149959,154090.27641632955,0.0022634314930678853,0.15409027641632955,0,4249,538907,medium_default,1000000.0
Fin_fl_rl_scaffold_3,pure_rl,fl_rl_scaffold,5667395.0939548705,1000000.0,5667395.093954777,4667395.093954777,0.0,0.0,6.0,0.0,2646,2646,40,0.015117157974300832,88145285.5112587,87847.8683261132,0.0009966258299190882,0.0878478683261132,0,4249,538907,medium_default,1000000.0
Fin_fl_rl_1,pure_rl,fl_rl,3480013.664595163,1000000.0,3480013.664595395,2480013.664595395,0.0,0.0,7.0,0.0,1342,1342,95,0.07078986587183309,47644679.09686051,267695.82970968727,0.005618588156832118,0.26769582970968725,0,4259,538907,high_default,1000000.0
Fin_fl_rl_2,pure_rl,fl_rl,3376144.6083032917,1000000.0,3376144.608302713,2376144.608302713,0.0,0.0,7.0,0.0,1375,1375,162,0.11781818181818182,48151877.110341765,412943.66633970296,0.008575858120617555,0.412943666339703,0,4259,538907,high_default,1000000.0
Fin_fl_rl_3,pure_rl,fl_rl,5166867.870303985,1000000.0,5166867.870303876,4166867.8703038758,0.0,0.0,7.0,0.0,2299,2299,74,0.03218790778599391,76201852.20474155,212026.52266309218,0.002782432664410999,0.2120265226630922,0,4259,538907,high_default,1000000.0
Fin_fl_rl_prox_1,pure_rl,fl_rl_prox,3049041.9044469185,1000000.0,3049041.9044467984,2049041.9044467984,0.0,0.0,10.0,0.0,1201,1201,107,0.0890924229808493,42774957.28519086,315706.62070751435,0.007380641401991892,0.3157066207075144,0,4258,538907,high_default,1000000.0
Fin_fl_rl_prox_2,pure_rl,fl_rl_prox,3590497.0115846526,1000000.0,3590497.011584655,2590497.011584655,0.0,0.0,7.0,0.0,1563,1563,154,0.09852847088931542,54268367.9244127,384726.0513157921,0.007089324150150507,0.3847260513157921,0,4258,538907,high_default,1000000.0
Fin_fl_rl_prox_3,pure_rl,fl_rl_prox,5102715.703740556,1000000.0,5102715.703740378,4102715.703740378,0.0,0.0,7.0,0.0,2387,2387,64,0.026811897779639715,77810388.72295822,171657.461041272,0.002206099517796444,0.171657461041272,0,4258,538907,high_default,1000000.0
Fin_fl_rl_scaffold_1,pure_rl,fl_rl_scaffold,3431360.7714781733,1000000.0,3431360.771478473,2431360.771478473,0.0,0.0,7.0,0.0,1530,1530,138,0.09019607843137255,52765311.57479782,396198.9497969741,0.007508701038092794,0.39619894979697406,0,4251,538907,high_default,1000000.0
Fin_fl_rl_scaffold_2,pure_rl,fl_rl_scaffold,3359054.3242323496,1000000.0,3359054.324232829,2359054.324232829,0.0,0.0,7.0,0.0,1602,1602,166,0.10362047440699126,53864035.912245005,409378.48284667364,0.007600219254153752,0.40937848284667366,0,4251,538907,high_default,1000000.0
Fin_fl_rl_scaffold_3,pure_rl,fl_rl_scaffold,5474161.486077147,1000000.0,5474161.486077349,4474161.486077349,0.0,0.0,7.0,0.0,2350,2350,69,0.029361702127659574,81527344.75580148,195716.26664407612,0.0024006211318460605,0.19571626664407613,0,4251,538907,high_default,1000000.0
Fin_fl_rl_1,pure_rl,fl_rl,11405696.301664716,5000000.0,11405696.301663253,6405696.301663253,0.0,0.0,14.0,0.0,4188,4188,0,0.0,145709403.15293193,0.0,0.0,0.0,0,4244,538907,none_default,5000000.0
Fin_fl_rl_2,pure_rl,fl_rl,10355597.243693983,5000000.0,10355597.243692914,5355597.243692914,0.0,0.0,6.0,0.0,3739,3739,0,0.0,131256871.18604916,0.0,0.0,0.0,0,4244,538907,none_default,5000000.0
Fin_fl_rl_3,pure_rl,fl_rl,6921533.180736208,5000000.0,6921533.1807353,1921533.1807353003,0.0,0.0,17.0,0.0,1272,1272,0,0.0,44985023.67820274,0.0,0.0,0.0,0,4244,538907,none_default,5000000.0
Fin_fl_rl_prox_1,pure_rl,fl_rl_prox,9952939.70805751,5000000.0,9952939.708056888,4952939.708056888,0.0,0.0,21.0,0.0,3227,3227,0,0.0,113148721.3822532,0.0,0.0,0.0,0,4253,538907,none_default,5000000.0
Fin_fl_rl_prox_2,pure_rl,fl_rl_prox,8920938.544039708,5000000.0,8920938.544040669,3920938.5440406688,0.0,0.0,17.0,0.0,2713,2713,0,0.0,95067174.89430453,0.0,0.0,0.0,0,4253,538907,none_default,5000000.0
Fin_fl_rl_prox_3,pure_rl,fl_rl_prox,10162858.395960273,5000000.0,10162858.395964496,5162858.395964496,0.0,0.0,13.0,0.0,3286,3286,0,0.0,116212281.34677741,0.0,0.0,0.0,0,4253,538907,none_default,5000000.0
Fin_fl_rl_scaffold_1,pure_rl,fl_rl_scaffold,11535493.200119767,5000000.0,11535493.200120118,6535493.2001201175,0.0,0.0,19.0,0.0,4599,4599,0,0.0,159318595.84516665,0.0,0.0,0.0,0,4259,538907,none_default,5000000.0
Fin_fl_rl_scaffold_2,pure_rl,fl_rl_scaffold,11355398.914339032,5000000.0,11355398.914338525,6355398.914338525,0.0,0.0,6.0,0.0,4356,4356,0,0.0,152915695.05058604,0.0,0.0,0.0,0,4259,538907,none_default,5000000.0
Fin_fl_rl_scaffold_3,pure_rl,fl_rl_scaffold,6250827.652643064,5000000.0,6250827.652643389,1250827.652643389,0.0,0.0,24.0,0.0,858,858,0,0.0,30363757.448126826,0.0,0.0,0.0,0,4259,538907,none_default,5000000.0
Fin_fl_rl_1,pure_rl,fl_rl,9536576.23992745,5000000.0,9536576.239928966,4536576.239928966,0.0,0.0,13.0,0.0,2609,2609,50,0.019164430816404752,91637195.4504724,112041.7468353751,0.0012226666942893386,0.02240834936707502,0,4254,538907,low_default,5000000.0
Fin_fl_rl_2,pure_rl,fl_rl,10023245.005784322,5000000.0,10023245.005782215,5023245.005782215,0.0,0.0,15.0,0.0,2707,2707,103,0.03804950129294422,94527214.93934934,211541.70829050185,0.002237892107857314,0.04230834165810037,0,4254,538907,low_default,5000000.0
Fin_fl_rl_3,pure_rl,fl_rl,7450324.292890129,5000000.0,7450324.292890105,2450324.2928901054,0.0,0.0,14.0,0.0,1608,1608,29,0.018034825870646767,56028100.09338222,57943.93235851492,0.0010341941322646953,0.011588786471702984,0,4254,538907,low_default,5000000.0
Fin_fl_rl_prox_1,pure_rl,fl_rl_prox,9379925.246537672,5000000.0,9379925.246536879,4379925.246536879,0.0,0.0,8.0,0.0,2961,2961,45,0.015197568389057751,103712615.18708675,98475.42995737278,0.0009495029103232367,0.019695085991474556,0,4260,538907,low_default,5000000.0
Fin_fl_rl_prox_2,pure_rl,fl_rl_prox,8530390.340693448,5000000.0,8530390.34069494,3530390.3406949397,0.0,0.0,14.0,0.0,2429,2429,111,0.04569781803211198,85119547.46259047,230661.9616334123,0.0027098588809437323,0.04613239232668246,0,4260,538907,low_default,5000000.0
Fin_fl_rl_prox_3,pure_rl,fl_rl_prox,10835812.909586886,5000000.0,10835812.909589544,5835812.909589544,0.0,0.0,16.0,0.0,3425,3425,36,0.010510948905109488,119439983.51303573,70478.77824735636,0.0005900769254515534,0.014095755649471272,0,4260,538907,low_default,5000000.0
Fin_fl_rl_scaffold_1,pure_rl,fl_rl_scaffold,9012306.867949972,5000000.0,9012306.867951853,4012306.867951853,0.0,0.0,6.0,0.0,2689,2689,59,0.02194124209743399,93280437.0645914,124354.7694091557,0.0013331280740360072,0.02487095388183114,0,4262,538907,low_default,5000000.0
Fin_fl_rl_scaffold_2,pure_rl,fl_rl_scaffold,9603996.007448306,5000000.0,9603996.007450242,4603996.007450242,0.0,0.0,8.0,0.0,3253,3253,121,0.037196434060866895,113315079.02632649,252608.49292684393,0.0022292575277484067,0.050521698585368785,0,4262,538907,low_default,5000000.0
Fin_fl_rl_scaffold_3,pure_rl,fl_rl_scaffold,10626802.849760564,5000000.0,10626802.849757051,5626802.849757051,0.0,0.0,15.0,0.0,3016,3016,36,0.011936339522546418,105661854.06525762,76973.83312629416,0.000728492167842848,0.015394766625258833,0,4262,538907,low_default,5000000.0
Fin_fl_rl_1,pure_rl,fl_rl,8713469.609557685,5000000.0,8713469.6095628,3713469.6095627993,0.0,0.0,6.0,0.0,2150,2150,141,0.06558139534883721,76043636.48236442,361645.8230576558,0.004755767080412134,0.07232916461153116,0,4259,538907,medium_default,5000000.0
Fin_fl_rl_2,pure_rl,fl_rl,8577710.599029932,5000000.0,8577710.59902975,3577710.5990297496,0.0,0.0,9.0,0.0,2082,2082,153,0.07348703170028818,73506391.09986529,328060.71516344586,0.004463023014117844,0.06561214303268917,0,4259,538907,medium_default,5000000.0
Fin_fl_rl_3,pure_rl,fl_rl,11313169.752923338,5000000.0,11313169.75292107,6313169.752921071,0.0,0.0,24.0,0.0,3569,3569,82,0.02297562342392827,124460294.33302432,183921.72589092795,0.0014777542257677766,0.03678434517818559,0,4259,538907,medium_default,5000000.0
Fin_fl_rl_prox_1,pure_rl,fl_rl_prox,8256658.92204077,5000000.0,8256658.922039226,3256658.9220392257,0.0,0.0,19.0,0.0,2304,2304,135,0.05859375,81041105.59875315,351803.2572845151,0.004341047110417601,0.07036065145690301,0,4246,538907,medium_default,5000000.0
Fin_fl_rl_prox_2,pure_rl,fl_rl_prox,8308304.345231728,5000000.0,8308304.345229565,3308304.345229565,0.0,0.0,18.0,0.0,2229,2229,143,0.06415432929564828,78417537.86994936,305501.91469801654,0.003895836607426678,0.06110038293960331,0,4246,538907,medium_default,5000000.0
Fin_fl_rl_prox_3,pure_rl,fl_rl_prox,9615513.359736944,5000000.0,9615513.35973511,4615513.359735111,0.0,0.0,18.0,0.0,2990,2990,70,0.023411371237458192,104397505.60497895,151728.22632297763,0.0014533702260769474,0.030345645264595527,0,4246,538907,medium_default,5000000.0
Fin_fl_rl_scaffold_1,pure_rl,fl_rl_scaffold,8518388.430974104,5000000.0,8518388.430976536,3518388.430976536,0.0,0.0,10.0,0.0,2324,2324,139,0.05981067125645439,81166801.07612218,342098.9642241207,0.004214764653633247,0.06841979284482415,0,4262,538907,medium_default,5000000.0
Fin_fl_rl_scaffold_2,pure_rl,fl_rl_scaffold,7939918.5201546205,5000000.0,7939918.520154841,2939918.5201548412,0.0,0.0,9.0,0.0,1848,1848,150,0.08116883116883117,65412623.335084975,314722.689262287,0.004811344863056136,0.0629445378524574,0,4262,538907,medium_default,5000000.0
Fin_fl_rl_scaffold_3,pure_rl,fl_rl_scaffold,11207397.909080533,5000000.0,11207397.909079615,6207397.909079615,0.0,0.0,18.0,0.0,3702,3702,83,0.022420313344138302,128610617.68999535,181646.56788129272,0.0014123761408186056,0.03632931357625854,0,4262,538907,medium_default,5000000.0
Fin_fl_rl_1,pure_rl,fl_rl,7649146.567065814,5000000.0,7649146.567067195,2649146.5670671947,0.0,0.0,20.0,0.0,1870,1870,146,0.07807486631016043,65468667.35882908,490596.8715664226,0.007493613225353989,0.09811937431328452,0,4249,538907,high_default,5000000.0
Fin_fl_rl_2,pure_rl,fl_rl,6602639.186396047,5000000.0,6602639.186397055,1602639.1863970552,0.0,0.0,20.0,0.0,1332,1332,200,0.15015015015015015,46462345.6753296,502796.3145920553,0.010821586970780688,0.10055926291841105,0,4249,538907,high_default,5000000.0
Fin_fl_rl_3,pure_rl,fl_rl,9764463.790806385,5000000.0,9764463.790806647,4764463.790806647,0.0,0.0,25.0,0.0,3251,3251,85,0.02614580129191018,112613834.81414144,245514.04096309436,0.0021801410223556655,0.04910280819261887,0,4249,538907,high_default,5000000.0
Fin_fl_rl_prox_1,pure_rl,fl_rl_prox,7126730.811354196,5000000.0,7126730.811352694,2126730.8113526944,0.0,0.0,22.0,0.0,1578,1578,136,0.08618504435994931,55042916.71141393,453492.06951660523,0.008238881523924898,0.09069841390332105,0,4249,538907,high_default,5000000.0
Fin_fl_rl_prox_2,pure_rl,fl_rl_prox,7498665.749556899,5000000.0,7498665.749558889,2498665.7495588893,0.0,0.0,7.0,0.0,2018,2018,209,0.10356788899900891,71024419.69074728,515017.47368084505,0.007251273237054537,0.10300349473616902,0,4249,538907,high_default,5000000.0
Fin_fl_rl_prox_3,pure_rl,fl_rl_prox,9007835.997699743,5000000.0,9007835.997700466,4007835.997700466,0.0,0.0,23.0,0.0,2693,2693,83,0.030820646119569254,94173295.81915309,236206.59008982166,0.0025082119940181774,0.047241318017964336,0,4249,538907,high_default,5000000.0
Fin_fl_rl_scaffold_1,pure_rl,fl_rl_scaffold,7464291.760590983,5000000.0,7464291.760587927,2464291.760587927,0.0,0.0,12.0,0.0,1896,1896,158,0.08333333333333333,66411239.64134004,534098.5570820987,0.008042291635671111,0.10681971141641973,0,4243,538907,high_default,5000000.0
Fin_fl_rl_scaffold_2,pure_rl,fl_rl_scaffold,7669206.856849729,5000000.0,7669206.856850175,2669206.856850175,0.0,0.0,21.0,0.0,2008,2008,198,0.09860557768924302,70542573.80243647,500105.3483400796,0.007089411703926324,0.10002106966801592,0,4243,538907,high_default,5000000.0
Fin_fl_rl_scaffold_3,pure_rl,fl_rl_scaffold,8176669.565647237,5000000.0,8176669.56564836,3176669.56564836,0.0,0.0,27.0,0.0,2092,2092,78,0.0372848948374761,73254699.98797707,233069.4589606694,0.003181631472095605,0.046613891792133884,0,4243,538907,high_default,5000000.0
Fin_fl_rl_1,pure_rl,fl_rl,17436771.072646145,10000000.0,17436771.07265777,7436771.072657771,0.0,0.0,6.0,0.0,6768,6768,0,0.0,235857110.51728538,0.0,0.0,0.0,0,4244,538907,none_default,10000000.0
Fin_fl_rl_2,pure_rl,fl_rl,12674835.183649447,10000000.0,12674835.183652328,2674835.1836523283,0.0,0.0,10.0,0.0,2498,2498,0,0.0,88008279.9385331,0.0,0.0,0.0,0,4244,538907,none_default,10000000.0
Fin_fl_rl_3,pure_rl,fl_rl,11490016.457042793,10000000.0,11490016.457042491,1490016.457042491,0.0,0.0,14.0,0.0,1082,1082,0,0.0,38640461.17053776,0.0,0.0,0.0,0,4244,538907,none_default,10000000.0
Fin_fl_rl_prox_1,pure_rl,fl_rl_prox,15782410.087248104,10000000.0,15782410.087252993,5782410.087252993,0.0,0.0,6.0,0.0,5213,5213,0,0.0,182300116.4869293,0.0,0.0,0.0,0,4259,538907,none_default,10000000.0
Fin_fl_rl_prox_2,pure_rl,fl_rl_prox,13793536.377546165,10000000.0,13793536.37754452,3793536.3775445204,0.0,0.0,7.0,0.0,3272,3272,0,0.0,115211815.82579839,0.0,0.0,0.0,0,4259,538907,none_default,10000000.0
Fin_fl_rl_prox_3,pure_rl,fl_rl_prox,12029600.377280777,10000000.0,12029600.37728802,2029600.3772880193,0.0,0.0,22.0,0.0,1803,1803,0,0.0,63152047.22067218,0.0,0.0,0.0,0,4259,538907,none_default,10000000.0
Fin_fl_rl_scaffold_1,pure_rl,fl_rl_scaffold,14924332.020052925,10000000.0,14924332.020060746,4924332.020060746,0.0,0.0,9.0,0.0,4538,4538,0,0.0,158589211.13027617,0.0,0.0,0.0,0,4255,538907,none_default,10000000.0
